announce_date,announce_time,company_id,company_name,subject,matched_clause,event_date,detail
2024-12-31,17:39:17,3713,新晶投控,"代重要子公司頂晶科技股份有限公司
公告經理人異動案",,,"1.董事會決議日期或發生變動日期:113/12/31
2.人員別（請輸入董事長或總經理）:總經理
3.舊任者姓名:陳清海
4.舊任者簡歷:前建興電子資深副總暨幕僚長
5.新任者姓名:無
6.新任者簡歷:無
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「職務調整」、「資遣」、
「退休」、「逝世」或「新任」）:職務調整
8.異動原因:職務調整為顧問
9.新任生效日期:無
10.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第6款所定
對股東權益或證券價格有重大影響之事項):無"
2024-12-31,17:40:42,5876,上海商銀,代子公司上海商業銀行有限公司公告委任候任行政總裁,,,"1.董事會決議日期或發生變動日期: 114/01/02
2.人員別（請輸入董事長或總經理）: 候任行政總裁
3.舊任者姓名: 不適用
4.舊任者簡歷: 不適用
5.新任者姓名: 林永德
6.新任者簡歷: 星展銀行(香港)有限公司前董事總經理兼企業及機構銀行副總監
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「職務調整」、「資遣」、
「退休」、「逝世」或「新任」）: 新任
8.異動原因: 新任
9.新任生效日期: 114年1月2日
10.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
   符合證券交易法施行細則第7條第6款所定對股東權益或證券價格有重大影響之事項):
林永德先生獲委任為上海商業銀行有限公司候任行政總裁，於114年1月2日起生效。"
2024-12-31,17:40:42,8383,千附,公告本公司獨立董事辭職,,,"1.發生變動日期:113/12/31
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、
自然人董事或自然人監察人）:獨立董事
3.舊任者職稱及姓名:獨立董事：許旭輝
4.舊任者簡歷:本公司獨立董事
5.新任者職稱及姓名:無
6.新任者簡歷:不適用
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:辭職
8.異動原因:個人規劃
9.新任者選任時持股數:不適用
10.原任期（例xx/xx/xx ~ xx/xx/xx）:113/05/30-116/05/29
11.新任生效日期:不適用
12.同任期董事變動比率:1/8
13.同任期獨立董事變動比率:1/4
14.同任期監察人變動比率:不適用
15.屬三分之一以上董事發生變動（請輸入是或否）:否
16.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第6款所定
對股東權益或證券價格有重大影響之事項):
(1)本公司於113/12/31接獲辭職書，該獨立董事自113/12/31起辭任。"
2024-12-31,17:41:03,6947,台鎔科技,本公司董事會決議召開114年第1次股東臨時會相關事宜,,,"1.董事會決議日期:113/12/31
2.股東臨時會召開日期:114/03/05
3.股東臨時會召開地點:桃園巿觀音區大潭三路12巷2號2樓
桃園巿產業園區聯合服務中心2樓會議室
4.股東臨時會召開方式(實體股東會/視訊輔助股東會/視訊股東會，
請擇一輸入):實體股東會
5.召集事由一、報告事項:與關係人之重大交易情形報告案
6.召集事由二、承認事項:無
7.召集事由三、討論事項:無
8.召集事由四、選舉事項:1.本公司補選董事二席案。
9.召集事由五、其他議案:1.本公司解除新任董事競業禁止之限制案
10.召集事由六、臨時動議:無
11.停止過戶起始日期:114/02/04
12.停止過戶截止日期:114/03/05
13.其他應敘明事項:無"
2024-12-31,17:41:10,8383,千附,公告本公司審計委員會委員辭職,,,"1.發生變動日期:113/12/31
2.功能性委員會名稱:審計委員會
3.舊任者姓名:許旭輝
4.舊任者簡歷:本公司獨立董事
5.新任者姓名:無
6.新任者簡歷:不適用
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:辭職
8.異動原因:個人規劃
9.原任期（例xx/xx/xx ~ xx/xx/xx）:113/05/30-116/05/29
10.新任生效日期:不適用
11.其他應敘明事項:
(1)自113/12/31起辭任。"
2024-12-31,17:41:25,8383,千附,公告本公司薪資報酬委員會委員辭職,,,"1.發生變動日期:113/12/31
2.功能性委員會名稱:薪資報酬委員會
3.舊任者姓名:許旭輝
4.舊任者簡歷:本公司獨立董事
5.新任者姓名:無
6.新任者簡歷:不適用
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:辭職
8.異動原因:個人規劃
9.原任期（例xx/xx/xx ~ xx/xx/xx）:113/08/12-116/05/29
10.新任生效日期:不適用
11.其他應敘明事項:
(1)自113/12/31起辭任。"
2024-12-31,17:41:42,8383,千附,公告本公司永續發展委員會委員辭職,,,"1.發生變動日期:113/12/31
2.功能性委員會名稱:永續發展委員會
3.舊任者姓名:許旭輝
4.舊任者簡歷:本公司獨立董事
5.新任者姓名:無
6.新任者簡歷:不適用
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:辭職
8.異動原因:個人規劃
9.原任期（例xx/xx/xx ~ xx/xx/xx）:113/08/12-116/05/29
10.新任生效日期:不適用
11.其他應敘明事項:
(1)自113/12/31起辭任。"
2024-12-31,17:42:53,8234,新漢,"代重要子公司新漢智能系統股份有限公司公告-
背書保證超限之改善計劃",,2024-12-31,"1.事實發生日:113/12/31
2.公司名稱:新漢智能系統股份有限公司
3.與公司關係(請輸入本公司或子公司):子公司
4.相互持股比例:不適用
5.發生緣由:
(1)依金融監督管理委員會113年12月24日金管證審字第1130386564號函辦理。
(2)本公司之重要子公司新漢智能系統股份有限公司，因淨值下降，致背書保證
   餘額超過所定限額。
6.因應措施:
新漢智能系統股份有限公司係替其子公司創博股份有限公司的銀行融資額度提供
擔保，今因淨值下降而超過限額，已於113年12月31日改由本公司(新漢股份有
限公司)替創博股份有限公司擔保且改善完成。
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第9款所定
對股東權益或證券價格有重大影響之事項):
(1)新漢智能系統股份有限公司及創博股份有限公司均為本公司之直/間接持股過半
   之子公司，此次擔保人的調整對股東權益並無重大影響。
(2)針對本次重要子公司背書保證超限及改善相關事宜，將提報本公司最近期董事會
   及下一次股東會。"
2024-12-31,17:46:24,2718,全心投控,公告本公司會計主管異動,,,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管
(如:執行長、營運長、行銷長及策略長等)、財務主管、會計
主管、公司治理主管、資訊安全長、研發主管、內部稽核主管或訴訟及非
訟代理人）:會計主管
2.發生變動日期:113/12/31
3.舊任者姓名、級職及簡歷:黃韋齊/全心投資控股股份有限公司會計主管。
4.新任者姓名、級職及簡歷:
夏美足/全心投資控股股份有限公司會計主管。
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、
「退休」、「死亡」、「新任」或「解任」）:辭職。
6.異動原因:個人生涯規劃。
7.生效日期:113/12/31
8.其他應敘明事項:新任會計主管任命案，將提審計委員會及董事會追認。"
2024-12-31,17:46:35,9945,潤泰新,本公司簽訂景觀設計承攬契約、工程結算協議等事宜,,2024-12-31,"1.契約種類:承攬契約、結算協議
2.事實發生日:113/12/31~113/12/31
3.契約相對人及其與公司之關係:
潤德室內裝修設計工程(股)公司、子公司
4.契約主要內容（含契約總金額、預計參與投入之金額及契約起迄日期）
、限制條款及其他重要約定事項:
(1)承攬契約內容：【潤泰松居室裝景觀設計】
   承攬金額：新台幣(以下同)2,400,000(未稅)
   契約起訖日期：至2025年05月31日止
(2)結算協議內容：【潤泰左岸生活外牆石材大板買賣契約】
   結算前總價：14,625,000(未稅)
   (經112.08.11董事會通過並公告)
   追減金額：5,274,750(未稅)
   結算後總金額：9,350,250(未稅)
(3)結算協議內容：【潤泰大安富陽案公設景觀梯廳工程】
   結算前總價：89,805,446(未稅)
   (經111.12.27及112.10.19董事會通過並公告)	
   追加金額：11,919,157(未稅)
   結算後總金額：101,724,603(未稅)
5.專業估價者事務所或公司名稱及其估價結果:
不適用
6.不動產估價師姓名:
不適用
7.不動產估價師開業證書字號:
不適用
8.取得之具體目的:
景觀設計承攬、石材大板及景觀工程結算
9.本次交易表示異議之董事意見:
不適用
10.本次交易為關係人交易:是
11.董事會通過日期:
民國 113年12 月31日
12.監察人承認或審計委員會同意日期:
民國 113年12 月31日
13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用
14.是否尚未取得估價報告:否或不適用
15.尚未取得估價報告之原因:
不適用
16.估價結果有重大差異時，其差異原因及會計師意見:
不適用
17.會計師事務所名稱:
不適用
18.會計師姓名:
不適用
19.會計師開業證書字號:
不適用
20.其他敘明事項:
無"
