co_id,year_quarter,account_code,account_name_cn,period_q_current,yoy_pct
1101,2026Q1,9850,稀釋每股盈餘合計,0.1,42.86
1101,2026Q2,4000,營業收入合計,38121809.0,
1101,2026Q2,5000,營業成本合計,31338475.0,
1101,2026Q2,5900,營業毛利（毛損）,6783334.0,
1101,2026Q2,5950,營業毛利（毛損）淨額,6783334.0,
1101,2026Q2,6000,營業費用合計,4405348.0,
1101,2026Q2,6100,推銷費用,447255.0,
1101,2026Q2,6200,管理費用,3642387.0,
1101,2026Q2,6300,研究發展費用,315706.0,
1101,2026Q2,6900,營業利益（損失）,2377986.0,
1101,2026Q2,7000,營業外收入及支出合計,2123615.0,
1101,2026Q2,7010,其他收入合計,390746.0,
1101,2026Q2,7020,其他利益及損失淨額,1731207.0,
1101,2026Q2,7050,財務成本淨額,1345674.0,
1101,2026Q2,7060,採用權益法認列之關聯企業及合資損益之份額淨額,109872.0,
1101,2026Q2,7100,利息收入合計,1237464.0,
1101,2026Q2,7130,股利收入,147494.0,
1101,2026Q2,7190,其他收入－其他,243252.0,
1101,2026Q2,7210,處分不動產、廠房及設備利益,3289.0,
1101,2026Q2,7215,處分投資性不動產利益,2004679.0,
1101,2026Q2,7225,處分投資利益,0.0,
1101,2026Q2,7235,透過損益按公允價值衡量之金融資產（負債）利益,455132.0,
1101,2026Q2,7590,什項支出,647057.0,
1101,2026Q2,7630,外幣兌換損失,84836.0,
1101,2026Q2,7900,繼續營業單位稅前淨利（淨損）,4501601.0,
1101,2026Q2,7950,所得稅費用（利益）合計,1136541.0,
1101,2026Q2,8000,繼續營業單位本期淨利（淨損）,3365060.0,
1101,2026Q2,8200,本期淨利（淨損）,3365060.0,
1101,2026Q2,8300,其他綜合損益（淨額）,42454.0,
1101,2026Q2,8310,不重分類至損益之項目總額,-1483673.0,
1101,2026Q2,8311,確定福利計畫之再衡量數,-183671.0,
1101,2026Q2,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-1293912.0,
1101,2026Q2,8317,避險工具之損益－不重分類至損益,-8286.0,
1101,2026Q2,8320,採用權益法認列之關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,2196.0,
1101,2026Q2,8360,後續可能重分類至損益之項目總額,1526127.0,
1101,2026Q2,8361,國外營運機構財務報表換算之兌換差額,1440516.0,
1101,2026Q2,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,85611.0,
1101,2026Q2,8500,本期綜合損益總額,3407514.0,
1101,2026Q2,8610,母公司業主（淨利／損）,2561591.0,
1101,2026Q2,8620,非控制權益（淨利／損）,803469.0,
1101,2026Q2,8710,母公司業主（綜合損益）,2429762.0,
1101,2026Q2,8720,非控制權益（綜合損益）,977752.0,
1101,2026Q2,9750,基本每股盈餘合計,0.29,
1101,2026Q2,9850,稀釋每股盈餘合計,0.27,
1102,2025Q1,4000,營業收入合計,16594707.0,
1102,2025Q1,5000,營業成本合計,14222297.0,
1102,2025Q1,5900,營業毛利（毛損）,2372410.0,
1102,2025Q1,5950,營業毛利（毛損）淨額,2372410.0,
1102,2025Q1,6000,營業費用合計,776260.0,
1102,2025Q1,6200,管理費用,724516.0,
1102,2025Q1,6450,預期信用減損損失(利益),51744.0,
1102,2025Q1,6900,營業利益（損失）,1596150.0,
1102,2025Q1,7000,營業外收入及支出合計,163927.0,
1102,2025Q1,7010,其他收入合計,377995.0,
1102,2025Q1,7020,其他利益及損失淨額,-168488.0,
1102,2025Q1,7050,財務成本淨額,365770.0,
1102,2025Q1,7060,採用權益法認列之關聯企業及合資損益之份額淨額,34448.0,
1102,2025Q1,7100,利息收入合計,285742.0,
1102,2025Q1,7900,繼續營業單位稅前淨利（淨損）,1760077.0,
1102,2025Q1,7950,所得稅費用（利益）合計,373541.0,
1102,2025Q1,8000,繼續營業單位本期淨利（淨損）,1386536.0,
1102,2025Q1,8200,本期淨利（淨損）,1386536.0,
1102,2025Q1,8300,其他綜合損益（淨額）,2924919.0,
1102,2025Q1,8310,不重分類至損益之項目總額,844498.0,
