date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2024-01-04,2Y,0.0274,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.96,1.993
2024-01-04,5Y,0.223,3,JGB107(20)|JGB108(20)|JGB353(10),4.961,4.961
2024-01-04,10Y,0.645,3,JGB WI(10)-01|JGB13(30)|JGB147(20),9.96,9.96
2024-01-04,20Y,1.403,1,JGB41(30),19.959,19.959
2024-01-04,30Y,1.665,1,JGB7(40),30.207,30.207
2024-01-04,40Y,1.771,1,JGB16(40),39.206,39.206
2024-01-05,2Y,0.027,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.958,1.99
2024-01-05,5Y,0.218,3,JGB107(20)|JGB108(20)|JGB353(10),4.958,4.958
2024-01-05,10Y,0.6443,3,JGB WI(10)-01|JGB13(30)|JGB147(20),9.958,9.958
2024-01-05,20Y,1.397,1,JGB41(30),19.956,19.956
2024-01-05,30Y,1.67,1,JGB7(40),30.204,30.204
2024-01-05,40Y,1.779,1,JGB16(40),39.203,39.203
2024-01-09,2Y,0.0126,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.947,1.979
2024-01-09,5Y,0.2053,3,JGB107(20)|JGB108(20)|JGB353(10),4.947,4.947
2024-01-09,10Y,0.63,3,JGB WI(10)-01|JGB13(30)|JGB147(20),9.947,9.947
2024-01-09,20Y,1.379,1,JGB41(30),19.945,19.945
2024-01-09,30Y,1.64,1,JGB WI(30)-01,29.947,29.947
2024-01-09,40Y,1.752,1,JGB16(40),39.192,39.192
2024-01-10,2Y,0.0026,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.944,1.977
2024-01-10,5Y,0.199,4,JGB WI(5)-01|JGB107(20)|JGB108(20)|JGB353(10),4.945,4.945
2024-01-10,10Y,0.6097,3,JGB WI(10)-01|JGB13(30)|JGB147(20),9.944,9.944
2024-01-10,20Y,1.36,1,JGB41(30),19.943,19.943
2024-01-10,30Y,1.629,1,JGB WI(30)-01,29.944,29.944
2024-01-10,40Y,1.741,1,JGB16(40),39.19,39.19
2024-01-11,2Y,0.0034,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.941,1.974
2024-01-11,5Y,0.2035,4,JGB WI(5)-01|JGB107(20)|JGB108(20)|JGB353(10),4.942,4.942
2024-01-11,10Y,0.6143,3,JGB13(30)|JGB147(20)|JGB373(10),9.941,9.941
2024-01-11,20Y,1.356,1,JGB41(30),19.94,19.94
2024-01-11,30Y,1.62,1,JGB WI(30)-01,29.941,29.941
2024-01-11,40Y,1.729,1,JGB16(40),39.187,39.187
2024-01-12,2Y,-0.0074,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.938,1.971
2024-01-12,5Y,0.194,4,JGB WI(5)-01|JGB107(20)|JGB108(20)|JGB353(10),4.939,4.939
2024-01-12,10Y,0.599,3,JGB13(30)|JGB147(20)|JGB373(10),9.938,9.938
2024-01-12,20Y,1.339,2,JGB WI(20)-01|JGB41(30),19.937,19.937
2024-01-12,30Y,1.616,1,JGB WI(30)-01,29.938,29.938
2024-01-12,40Y,1.725,1,JGB16(40),39.184,39.184
2024-01-15,2Y,-0.0168,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.93,1.963
2024-01-15,5Y,0.1925,4,JGB WI(5)-01|JGB107(20)|JGB108(20)|JGB353(10),4.931,4.931
2024-01-15,10Y,0.5843,3,JGB13(30)|JGB147(20)|JGB373(10),9.93,9.93
2024-01-15,20Y,1.3335,2,JGB WI(20)-01|JGB41(30),19.929,19.929
2024-01-15,30Y,1.608,1,JGB81(30),29.93,29.93
2024-01-15,40Y,1.725,1,JGB16(40),39.176,39.176
2024-01-16,2Y,-0.0224,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.927,1.96
2024-01-16,5Y,0.1758,4,JGB WI(5)-01|JGB107(20)|JGB108(20)|JGB353(10),4.928,4.928
2024-01-16,10Y,0.5557,3,JGB13(30)|JGB147(20)|JGB373(10),9.927,9.927
2024-01-16,20Y,1.3,2,JGB WI(20)-01|JGB41(30),19.926,19.926
2024-01-16,30Y,1.578,1,JGB81(30),29.927,29.927
2024-01-16,40Y,1.695,1,JGB16(40),39.173,39.173
2024-01-17,2Y,-0.0056,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.925,1.958
2024-01-17,5Y,0.1913,4,JGB107(20)|JGB108(20)|JGB164(5)|JGB353(10),4.925,4.925
2024-01-17,10Y,0.5887,3,JGB13(30)|JGB147(20)|JGB373(10),9.925,9.925
2024-01-17,20Y,1.324,2,JGB WI(20)-01|JGB41(30),19.923,19.923
2024-01-17,30Y,1.595,1,JGB81(30),29.925,29.925
2024-01-17,40Y,1.714,1,JGB16(40),39.17,39.17
2024-01-18,2Y,-0.0006,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.922,1.955
2024-01-18,5Y,0.1978,4,JGB107(20)|JGB108(20)|JGB164(5)|JGB353(10),4.923,4.923
2024-01-18,10Y,0.6037,3,JGB13(30)|JGB147(20)|JGB373(10),9.922,9.922
2024-01-18,20Y,1.3385,2,JGB WI(20)-01|JGB41(30),19.921,19.921
2024-01-18,30Y,1.617,1,JGB81(30),29.922,29.922
2024-01-18,40Y,1.745,1,JGB16(40),39.168,39.168
2024-01-19,2Y,0.0076,5,JGB146(5)|JGB341(10)|JGB456(2)|JGB83(20)|JGB84(20),1.919,1.952
2024-01-19,5Y,0.2385,4,JGB107(20)|JGB108(20)|JGB164(5)|JGB353(10),4.92,4.92
2024-01-19,10Y,0.6497,3,JGB13(30)|JGB147(20)|JGB373(10),9.919,9.919
2024-01-19,20Y,1.416,2,JGB187(20)|JGB41(30),19.918,19.918
2024-01-19,30Y,1.697,1,JGB81(30),29.919,29.919
2024-01-19,40Y,1.8235,2,JGB WI(40)-01|JGB16(40),39.165,39.165
2024-01-22,2Y,0.028,1,JGB456(2),1.944,1.944
2024-01-22,5Y,0.2447,4,JGB107(20)|JGB108(20)|JGB164(5)|JGB353(10),4.912,4.912
2024-01-22,10Y,0.6643,3,JGB13(30)|JGB147(20)|JGB373(10),9.911,9.911
2024-01-22,20Y,1.4505,2,JGB187(20)|JGB41(30),19.91,19.91
2024-01-22,30Y,1.743,1,JGB81(30),29.911,29.911
2024-01-22,40Y,1.88,2,JGB WI(40)-01|JGB16(40),39.157,39.157
2024-01-23,2Y,0.022,1,JGB456(2),1.941,1.941
2024-01-23,5Y,0.2343,4,JGB107(20)|JGB108(20)|JGB164(5)|JGB353(10),4.909,4.909
2024-01-23,10Y,0.6493,3,JGB13(30)|JGB147(20)|JGB373(10),9.908,9.908
2024-01-23,20Y,1.434,2,JGB187(20)|JGB41(30),19.907,19.907
2024-01-23,30Y,1.738,1,JGB81(30),29.908,29.908
2024-01-23,40Y,1.8755,2,JGB WI(40)-01|JGB16(40),39.154,39.154
2024-01-24,2Y,0.026,2,JGB WI(2)-02|JGB456(2),1.938,2.023
2024-01-24,5Y,0.228,4,JGB107(20)|JGB108(20)|JGB164(5)|JGB353(10),4.906,4.906
2024-01-24,10Y,0.6347,3,JGB13(30)|JGB147(20)|JGB373(10),9.906,9.906
2024-01-24,20Y,1.4075,2,JGB187(20)|JGB41(30),19.904,19.904
2024-01-24,30Y,1.71,1,JGB81(30),29.906,29.906
2024-01-24,40Y,1.8395,2,JGB WI(40)-01|JGB16(40),39.151,39.151
2024-01-25,2Y,0.0715,2,JGB WI(2)-02|JGB456(2),1.936,2.021
2024-01-25,5Y,0.3047,4,JGB107(20)|JGB108(20)|JGB164(5)|JGB353(10),4.903,4.903
2024-01-25,10Y,0.7113,3,JGB13(30)|JGB147(20)|JGB373(10),9.903,9.903
2024-01-25,20Y,1.488,2,JGB187(20)|JGB41(30),19.901,19.901
2024-01-25,30Y,1.772,1,JGB81(30),29.903,29.903
2024-01-25,40Y,1.9045,2,JGB WI(40)-01|JGB16(40),39.149,39.149
2024-01-26,2Y,0.0685,2,JGB WI(2)-02|JGB456(2),1.933,2.018
2024-01-26,5Y,0.3195,4,JGB107(20)|JGB108(20)|JGB164(5)|JGB353(10),4.901,4.901
2024-01-26,10Y,0.7408,4,JGB WI(10)-02|JGB13(30)|JGB147(20)|JGB373(10),9.9,9.9
