date,tenor,yield
2023-01-03,1Y,4.72
2023-01-03,2Y,4.4
2023-01-03,5Y,3.94
2023-01-03,10Y,3.79
2023-01-03,20Y,4.06
2023-01-03,30Y,3.88
2023-01-04,1Y,4.71
2023-01-04,2Y,4.36
2023-01-04,5Y,3.85
2023-01-04,10Y,3.69
2023-01-04,20Y,3.97
2023-01-04,30Y,3.81
2023-01-05,1Y,4.78
2023-01-05,2Y,4.45
2023-01-05,5Y,3.9
2023-01-05,10Y,3.71
2023-01-05,20Y,3.96
2023-01-05,30Y,3.78
2023-01-06,1Y,4.71
2023-01-06,2Y,4.24
2023-01-06,5Y,3.69
2023-01-06,10Y,3.55
2023-01-06,20Y,3.84
2023-01-06,30Y,3.67
2023-01-09,1Y,4.69
2023-01-09,2Y,4.19
2023-01-09,5Y,3.66
2023-01-09,10Y,3.53
2023-01-09,20Y,3.83
2023-01-09,30Y,3.66
2023-01-10,1Y,4.74
2023-01-10,2Y,4.24
2023-01-10,5Y,3.72
2023-01-10,10Y,3.61
2023-01-10,20Y,3.91
2023-01-10,30Y,3.74
2023-01-11,1Y,4.73
2023-01-11,2Y,4.2
2023-01-11,5Y,3.66
2023-01-11,10Y,3.54
2023-01-11,20Y,3.84
2023-01-11,30Y,3.67
2023-01-12,1Y,4.66
2023-01-12,2Y,4.12
2023-01-12,5Y,3.53
2023-01-12,10Y,3.43
2023-01-12,20Y,3.73
2023-01-12,30Y,3.56
2023-01-13,1Y,4.69
2023-01-13,2Y,4.22
2023-01-13,5Y,3.6
2023-01-13,10Y,3.49
2023-01-13,20Y,3.79
2023-01-13,30Y,3.61
2023-01-17,1Y,4.67
2023-01-17,2Y,4.18
2023-01-17,5Y,3.6
2023-01-17,10Y,3.53
2023-01-17,20Y,3.81
2023-01-17,30Y,3.64
2023-01-18,1Y,4.63
2023-01-18,2Y,4.06
2023-01-18,5Y,3.43
2023-01-18,10Y,3.37
2023-01-18,20Y,3.65
2023-01-18,30Y,3.54
2023-01-19,1Y,4.65
2023-01-19,2Y,4.09
2023-01-19,5Y,3.48
2023-01-19,10Y,3.39
2023-01-19,20Y,3.69
2023-01-19,30Y,3.57
2023-01-20,1Y,4.68
2023-01-20,2Y,4.14
2023-01-20,5Y,3.56
2023-01-20,10Y,3.48
2023-01-20,20Y,3.77
2023-01-20,30Y,3.66
2023-01-23,1Y,4.7
2023-01-23,2Y,4.21
2023-01-23,5Y,3.61
2023-01-23,10Y,3.52
2023-01-23,20Y,3.8
2023-01-23,30Y,3.69
2023-01-24,1Y,4.7
2023-01-24,2Y,4.12
2023-01-24,5Y,3.58
2023-01-24,10Y,3.46
2023-01-24,20Y,3.73
2023-01-24,30Y,3.62
2023-01-25,1Y,4.67
2023-01-25,2Y,4.11
2023-01-25,5Y,3.54
2023-01-25,10Y,3.46
2023-01-25,20Y,3.74
2023-01-25,30Y,3.62
2023-01-26,1Y,4.68
2023-01-26,2Y,4.17
2023-01-26,5Y,3.58
2023-01-26,10Y,3.49
2023-01-26,20Y,3.75
2023-01-26,30Y,3.62
2023-01-27,1Y,4.68
2023-01-27,2Y,4.19
2023-01-27,5Y,3.62
2023-01-27,10Y,3.52
2023-01-27,20Y,3.77
2023-01-27,30Y,3.64
2023-01-30,1Y,4.71
2023-01-30,2Y,4.25
2023-01-30,5Y,3.68
2023-01-30,10Y,3.55
2023-01-30,20Y,3.79
2023-01-30,30Y,3.66
2023-01-31,1Y,4.68
2023-01-31,2Y,4.21
2023-01-31,5Y,3.63
2023-01-31,10Y,3.52
2023-01-31,20Y,3.78
2023-01-31,30Y,3.65
2023-02-01,1Y,4.66
2023-02-01,2Y,4.09
2023-02-01,5Y,3.48
2023-02-01,10Y,3.39
2023-02-01,20Y,3.67
2023-02-01,30Y,3.55
2023-02-02,1Y,4.64
2023-02-02,2Y,4.09
2023-02-02,5Y,3.49
2023-02-02,10Y,3.4
2023-02-02,20Y,3.67
2023-02-02,30Y,3.55
2023-02-03,1Y,4.79
2023-02-03,2Y,4.3
2023-02-03,5Y,3.67
2023-02-03,10Y,3.53
2023-02-03,20Y,3.77
2023-02-03,30Y,3.63
2023-02-06,1Y,4.85
2023-02-06,2Y,4.44
2023-02-06,5Y,3.81
2023-02-06,10Y,3.63
2023-02-06,20Y,3.82
2023-02-06,30Y,3.67
2023-02-07,1Y,4.88
2023-02-07,2Y,4.47
2023-02-07,5Y,3.85
2023-02-07,10Y,3.67
