date,tenor,yield
2022-01-03,1Y,0.4
2022-01-03,2Y,0.78
2022-01-03,5Y,1.37
2022-01-03,10Y,1.63
2022-01-03,20Y,2.05
2022-01-03,30Y,2.01
2022-01-04,1Y,0.38
2022-01-04,2Y,0.77
2022-01-04,5Y,1.37
2022-01-04,10Y,1.66
2022-01-04,20Y,2.1
2022-01-04,30Y,2.07
2022-01-05,1Y,0.41
2022-01-05,2Y,0.83
2022-01-05,5Y,1.43
2022-01-05,10Y,1.71
2022-01-05,20Y,2.12
2022-01-05,30Y,2.09
2022-01-06,1Y,0.45
2022-01-06,2Y,0.88
2022-01-06,5Y,1.47
2022-01-06,10Y,1.73
2022-01-06,20Y,2.12
2022-01-06,30Y,2.09
2022-01-07,1Y,0.43
2022-01-07,2Y,0.87
2022-01-07,5Y,1.5
2022-01-07,10Y,1.76
2022-01-07,20Y,2.15
2022-01-07,30Y,2.11
2022-01-10,1Y,0.46
2022-01-10,2Y,0.92
2022-01-10,5Y,1.53
2022-01-10,10Y,1.78
2022-01-10,20Y,2.15
2022-01-10,30Y,2.11
2022-01-11,1Y,0.46
2022-01-11,2Y,0.9
2022-01-11,5Y,1.51
2022-01-11,10Y,1.75
2022-01-11,20Y,2.13
2022-01-11,30Y,2.08
2022-01-12,1Y,0.48
2022-01-12,2Y,0.92
2022-01-12,5Y,1.5
2022-01-12,10Y,1.74
2022-01-12,20Y,2.13
2022-01-12,30Y,2.08
2022-01-13,1Y,0.47
2022-01-13,2Y,0.91
2022-01-13,5Y,1.47
2022-01-13,10Y,1.7
2022-01-13,20Y,2.1
2022-01-13,30Y,2.05
2022-01-14,1Y,0.51
2022-01-14,2Y,0.99
2022-01-14,5Y,1.55
2022-01-14,10Y,1.78
2022-01-14,20Y,2.18
2022-01-14,30Y,2.12
2022-01-18,1Y,0.58
2022-01-18,2Y,1.06
2022-01-18,5Y,1.65
2022-01-18,10Y,1.87
2022-01-18,20Y,2.24
2022-01-18,30Y,2.18
2022-01-19,1Y,0.57
2022-01-19,2Y,1.04
2022-01-19,5Y,1.62
2022-01-19,10Y,1.83
2022-01-19,20Y,2.2
2022-01-19,30Y,2.14
2022-01-20,1Y,0.6
2022-01-20,2Y,1.08
2022-01-20,5Y,1.62
2022-01-20,10Y,1.83
2022-01-20,20Y,2.19
2022-01-20,30Y,2.14
2022-01-21,1Y,0.58
2022-01-21,2Y,1.01
2022-01-21,5Y,1.54
2022-01-21,10Y,1.75
2022-01-21,20Y,2.13
2022-01-21,30Y,2.07
2022-01-24,1Y,0.58
2022-01-24,2Y,0.99
2022-01-24,5Y,1.53
2022-01-24,10Y,1.75
2022-01-24,20Y,2.15
2022-01-24,30Y,2.1
2022-01-25,1Y,0.65
2022-01-25,2Y,1.02
2022-01-25,5Y,1.56
2022-01-25,10Y,1.78
2022-01-25,20Y,2.18
2022-01-25,30Y,2.12
2022-01-26,1Y,0.7
2022-01-26,2Y,1.13
2022-01-26,5Y,1.66
2022-01-26,10Y,1.85
2022-01-26,20Y,2.22
2022-01-26,30Y,2.16
2022-01-27,1Y,0.75
2022-01-27,2Y,1.18
2022-01-27,5Y,1.66
2022-01-27,10Y,1.81
2022-01-27,20Y,2.17
2022-01-27,30Y,2.09
2022-01-28,1Y,0.75
2022-01-28,2Y,1.15
2022-01-28,5Y,1.61
2022-01-28,10Y,1.78
2022-01-28,20Y,2.14
2022-01-28,30Y,2.07
2022-01-31,1Y,0.78
2022-01-31,2Y,1.18
2022-01-31,5Y,1.62
2022-01-31,10Y,1.79
2022-01-31,20Y,2.17
2022-01-31,30Y,2.11
2022-02-01,1Y,0.78
2022-02-01,2Y,1.18
2022-02-01,5Y,1.63
2022-02-01,10Y,1.81
2022-02-01,20Y,2.19
2022-02-01,30Y,2.12
2022-02-02,1Y,0.76
2022-02-02,2Y,1.16
2022-02-02,5Y,1.6
2022-02-02,10Y,1.78
2022-02-02,20Y,2.17
2022-02-02,30Y,2.11
