date,tenor,yield
2026-01-02,1Y,3.47
2026-01-02,2Y,3.47
2026-01-02,5Y,3.74
2026-01-02,10Y,4.19
2026-01-02,20Y,4.81
2026-01-02,30Y,4.86
2026-01-05,1Y,3.47
2026-01-05,2Y,3.46
2026-01-05,5Y,3.71
2026-01-05,10Y,4.17
2026-01-05,20Y,4.79
2026-01-05,30Y,4.85
2026-01-06,1Y,3.48
2026-01-06,2Y,3.47
2026-01-06,5Y,3.72
2026-01-06,10Y,4.18
2026-01-06,20Y,4.8
2026-01-06,30Y,4.86
2026-01-07,1Y,3.48
2026-01-07,2Y,3.47
2026-01-07,5Y,3.7
2026-01-07,10Y,4.15
2026-01-07,20Y,4.76
2026-01-07,30Y,4.82
2026-01-08,1Y,3.48
2026-01-08,2Y,3.49
2026-01-08,5Y,3.74
2026-01-08,10Y,4.19
2026-01-08,20Y,4.79
2026-01-08,30Y,4.85
2026-01-09,1Y,3.52
2026-01-09,2Y,3.54
2026-01-09,5Y,3.75
2026-01-09,10Y,4.18
2026-01-09,20Y,4.76
2026-01-09,30Y,4.82
2026-01-12,1Y,3.53
2026-01-12,2Y,3.54
2026-01-12,5Y,3.77
2026-01-12,10Y,4.19
2026-01-12,20Y,4.78
2026-01-12,30Y,4.83
2026-01-13,1Y,3.51
2026-01-13,2Y,3.53
2026-01-13,5Y,3.75
2026-01-13,10Y,4.18
2026-01-13,20Y,4.77
2026-01-13,30Y,4.83
2026-01-14,1Y,3.5
2026-01-14,2Y,3.51
2026-01-14,5Y,3.72
2026-01-14,10Y,4.15
2026-01-14,20Y,4.73
2026-01-14,30Y,4.79
2026-01-15,1Y,3.54
2026-01-15,2Y,3.56
2026-01-15,5Y,3.77
2026-01-15,10Y,4.17
2026-01-15,20Y,4.74
2026-01-15,30Y,4.79
2026-01-16,1Y,3.55
2026-01-16,2Y,3.59
2026-01-16,5Y,3.82
2026-01-16,10Y,4.24
2026-01-16,20Y,4.79
2026-01-16,30Y,4.83
2026-01-20,1Y,3.53
2026-01-20,2Y,3.6
2026-01-20,5Y,3.86
2026-01-20,10Y,4.3
2026-01-20,20Y,4.87
2026-01-20,30Y,4.91
