date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2025-01-06,2Y,0.577,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.952,1.985
2025-01-06,5Y,0.7317,3,JGB114(20)|JGB115(20)|JGB357(10),4.953,4.953
2025-01-06,10Y,1.1057,3,JGB WI(10)-01|JGB151(20)|JGB17(30),9.952,9.952
2025-01-06,20Y,1.887,1,JGB45(30),19.953,19.953
2025-01-06,30Y,2.25,1,JGB WI(30)-01,29.952,29.952
2025-01-06,40Y,2.527,1,JGB17(40),39.201,39.201
2025-01-07,2Y,0.6015,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.949,1.982
2025-01-07,5Y,0.7783,3,JGB114(20)|JGB115(20)|JGB357(10),4.95,4.95
2025-01-07,10Y,1.1393,3,JGB WI(10)-01|JGB151(20)|JGB17(30),9.949,9.949
2025-01-07,20Y,1.91,1,JGB45(30),19.951,19.951
2025-01-07,30Y,2.269,1,JGB WI(30)-01,29.949,29.949
2025-01-07,40Y,2.554,1,JGB17(40),39.198,39.198
2025-01-08,2Y,0.6062,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.947,1.979
2025-01-08,5Y,0.7898,4,JGB WI(5)-01|JGB114(20)|JGB115(20)|JGB357(10),4.947,4.947
2025-01-08,10Y,1.1423,3,JGB151(20)|JGB17(30)|JGB377(10),9.947,9.947
2025-01-08,20Y,1.911,1,JGB45(30),19.948,19.948
2025-01-08,30Y,2.275,1,JGB WI(30)-01,29.947,29.947
2025-01-08,40Y,2.569,1,JGB17(40),39.195,39.195
2025-01-09,2Y,0.623,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.944,1.977
2025-01-09,5Y,0.8155,4,JGB WI(5)-01|JGB114(20)|JGB115(20)|JGB357(10),4.945,4.945
2025-01-09,10Y,1.176,3,JGB151(20)|JGB17(30)|JGB377(10),9.944,9.944
2025-01-09,20Y,1.944,1,JGB45(30),19.945,19.945
2025-01-09,30Y,2.295,1,JGB WI(30)-01,29.944,29.944
2025-01-09,40Y,2.588,1,JGB17(40),39.192,39.192
2025-01-10,2Y,0.6175,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.941,1.974
2025-01-10,5Y,0.8113,4,JGB WI(5)-01|JGB114(20)|JGB115(20)|JGB357(10),4.942,4.942
2025-01-10,10Y,1.1717,3,JGB151(20)|JGB17(30)|JGB377(10),9.941,9.941
2025-01-10,20Y,1.93,2,JGB WI(20)-01|JGB45(30),19.943,19.943
2025-01-10,30Y,2.283,1,JGB85(30),29.941,29.941
2025-01-10,40Y,2.588,1,JGB17(40),39.19,39.19
2025-01-14,2Y,0.6215,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.93,1.963
2025-01-14,5Y,0.8275,4,JGB WI(5)-01|JGB114(20)|JGB115(20)|JGB357(10),4.931,4.931
2025-01-14,10Y,1.1953,3,JGB151(20)|JGB17(30)|JGB377(10),9.93,9.93
2025-01-14,20Y,1.954,2,JGB WI(20)-01|JGB45(30),19.932,19.932
2025-01-14,30Y,2.3,1,JGB85(30),29.93,29.93
2025-01-14,40Y,2.606,1,JGB17(40),39.179,39.179
2025-01-15,2Y,0.656,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.927,1.96
2025-01-15,5Y,0.865,4,JGB114(20)|JGB115(20)|JGB175(5)|JGB357(10),4.928,4.928
2025-01-15,10Y,1.239,3,JGB151(20)|JGB17(30)|JGB377(10),9.927,9.927
2025-01-15,20Y,1.99,2,JGB WI(20)-01|JGB45(30),19.929,19.929
2025-01-15,30Y,2.328,1,JGB85(30),29.927,29.927
2025-01-15,40Y,2.6295,2,JGB WI(40)-01|JGB17(40),39.176,39.176
2025-01-16,2Y,0.6765,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.925,1.958
2025-01-16,5Y,0.886,4,JGB114(20)|JGB115(20)|JGB175(5)|JGB357(10),4.925,4.925
2025-01-16,10Y,1.2477,3,JGB151(20)|JGB17(30)|JGB377(10),9.925,9.925
2025-01-16,20Y,1.9995,2,JGB WI(20)-01|JGB45(30),19.926,19.926
2025-01-16,30Y,2.345,1,JGB85(30),29.925,29.925
2025-01-16,40Y,2.652,2,JGB WI(40)-01|JGB17(40),39.173,39.173
2025-01-17,2Y,0.6678,4,JGB150(5)|JGB345(10)|JGB468(2)|JGB92(20),1.922,1.955
2025-01-17,5Y,0.8602,4,JGB114(20)|JGB115(20)|JGB175(5)|JGB357(10),4.923,4.923
2025-01-17,10Y,1.2003,3,JGB151(20)|JGB17(30)|JGB377(10),9.922,9.922
2025-01-17,20Y,1.9395,2,JGB191(20)|JGB45(30),19.923,19.923
2025-01-17,30Y,2.315,1,JGB85(30),29.922,29.922
