date,tenor,yield
2021-01-04,1Y,0.1
2021-01-04,2Y,0.11
2021-01-04,5Y,0.36
2021-01-04,10Y,0.93
2021-01-04,20Y,1.46
2021-01-04,30Y,1.66
2021-01-05,1Y,0.1
2021-01-05,2Y,0.13
2021-01-05,5Y,0.38
2021-01-05,10Y,0.96
2021-01-05,20Y,1.49
2021-01-05,30Y,1.7
2021-01-06,1Y,0.11
2021-01-06,2Y,0.14
2021-01-06,5Y,0.43
2021-01-06,10Y,1.04
2021-01-06,20Y,1.6
2021-01-06,30Y,1.81
2021-01-07,1Y,0.11
2021-01-07,2Y,0.14
2021-01-07,5Y,0.46
2021-01-07,10Y,1.08
2021-01-07,20Y,1.64
2021-01-07,30Y,1.85
2021-01-08,1Y,0.1
2021-01-08,2Y,0.14
2021-01-08,5Y,0.49
2021-01-08,10Y,1.13
2021-01-08,20Y,1.67
2021-01-08,30Y,1.87
2021-01-11,1Y,0.1
2021-01-11,2Y,0.14
2021-01-11,5Y,0.5
2021-01-11,10Y,1.15
2021-01-11,20Y,1.68
2021-01-11,30Y,1.88
2021-01-12,1Y,0.11
2021-01-12,2Y,0.14
2021-01-12,5Y,0.5
2021-01-12,10Y,1.15
2021-01-12,20Y,1.68
2021-01-12,30Y,1.88
2021-01-13,1Y,0.12
2021-01-13,2Y,0.14
2021-01-13,5Y,0.48
2021-01-13,10Y,1.1
2021-01-13,20Y,1.63
2021-01-13,30Y,1.82
2021-01-14,1Y,0.1
2021-01-14,2Y,0.16
2021-01-14,5Y,0.49
2021-01-14,10Y,1.15
2021-01-14,20Y,1.69
2021-01-14,30Y,1.88
2021-01-15,1Y,0.1
2021-01-15,2Y,0.13
2021-01-15,5Y,0.46
2021-01-15,10Y,1.11
2021-01-15,20Y,1.66
2021-01-15,30Y,1.85
2021-01-19,1Y,0.1
2021-01-19,2Y,0.14
2021-01-19,5Y,0.45
2021-01-19,10Y,1.1
2021-01-19,20Y,1.65
2021-01-19,30Y,1.84
2021-01-20,1Y,0.1
2021-01-20,2Y,0.13
2021-01-20,5Y,0.45
2021-01-20,10Y,1.1
2021-01-20,20Y,1.65
2021-01-20,30Y,1.84
2021-01-21,1Y,0.1
2021-01-21,2Y,0.13
2021-01-21,5Y,0.45
2021-01-21,10Y,1.12
2021-01-21,20Y,1.68
2021-01-21,30Y,1.87
2021-01-22,1Y,0.1
2021-01-22,2Y,0.13
2021-01-22,5Y,0.44
2021-01-22,10Y,1.1
2021-01-22,20Y,1.66
2021-01-22,30Y,1.85
2021-01-25,1Y,0.1
2021-01-25,2Y,0.13
2021-01-25,5Y,0.42
2021-01-25,10Y,1.05
2021-01-25,20Y,1.61
2021-01-25,30Y,1.8
2021-01-26,1Y,0.09
2021-01-26,2Y,0.11
2021-01-26,5Y,0.42
2021-01-26,10Y,1.05
2021-01-26,20Y,1.61
2021-01-26,30Y,1.8
2021-01-27,1Y,0.09
2021-01-27,2Y,0.12
2021-01-27,5Y,0.41
2021-01-27,10Y,1.04
2021-01-27,20Y,1.6
2021-01-27,30Y,1.79
2021-01-28,1Y,0.08
2021-01-28,2Y,0.12
2021-01-28,5Y,0.42
2021-01-28,10Y,1.07
2021-01-28,20Y,1.63
2021-01-28,30Y,1.81
2021-01-29,1Y,0.1
2021-01-29,2Y,0.11
2021-01-29,5Y,0.45
2021-01-29,10Y,1.11
2021-01-29,20Y,1.68
2021-01-29,30Y,1.87
2021-02-01,1Y,0.08
2021-02-01,2Y,0.11
2021-02-01,5Y,0.42
2021-02-01,10Y,1.09
2021-02-01,20Y,1.66
2021-02-01,30Y,1.84
2021-02-02,1Y,0.08
2021-02-02,2Y,0.11
2021-02-02,5Y,0.45
2021-02-02,10Y,1.12
2021-02-02,20Y,1.69
2021-02-02,30Y,1.87
2021-02-03,1Y,0.08
2021-02-03,2Y,0.11
2021-02-03,5Y,0.46
2021-02-03,10Y,1.15
2021-02-03,20Y,1.73
2021-02-03,30Y,1.92
2021-02-04,1Y,0.07
2021-02-04,2Y,0.11
2021-02-04,5Y,0.46
2021-02-04,10Y,1.15
2021-02-04,20Y,1.75
2021-02-04,30Y,1.93
2021-02-05,1Y,0.06
2021-02-05,2Y,0.09
2021-02-05,5Y,0.47
2021-02-05,10Y,1.19
2021-02-05,20Y,1.79
2021-02-05,30Y,1.97
2021-02-08,1Y,0.07
2021-02-08,2Y,0.11
2021-02-08,5Y,0.48
2021-02-08,10Y,1.19
2021-02-08,20Y,1.78
2021-02-08,30Y,1.96
2021-02-09,1Y,0.07
2021-02-09,2Y,0.11
2021-02-09,5Y,0.48
2021-02-09,10Y,1.18
2021-02-09,20Y,1.78
2021-02-09,30Y,1.95
2021-02-10,1Y,0.07
2021-02-10,2Y,0.11
2021-02-10,5Y,0.46
2021-02-10,10Y,1.15
2021-02-10,20Y,1.75
2021-02-10,30Y,1.92
2021-02-11,1Y,0.07
2021-02-11,2Y,0.11
2021-02-11,5Y,0.46
2021-02-11,10Y,1.16
2021-02-11,20Y,1.77
2021-02-11,30Y,1.94
2021-02-12,1Y,0.06
2021-02-12,2Y,0.11
2021-02-12,5Y,0.5
2021-02-12,10Y,1.2
2021-02-12,20Y,1.83
2021-02-12,30Y,2.01
2021-02-16,1Y,0.08
2021-02-16,2Y,0.13
2021-02-16,5Y,0.57
2021-02-16,10Y,1.3
2021-02-16,20Y,1.92
2021-02-16,30Y,2.08
2021-02-17,1Y,0.07
2021-02-17,2Y,0.11
2021-02-17,5Y,0.57
2021-02-17,10Y,1.29
2021-02-17,20Y,1.92
2021-02-17,30Y,2.06
2021-02-18,1Y,0.06
2021-02-18,2Y,0.11
2021-02-18,5Y,0.56
2021-02-18,10Y,1.29
2021-02-18,20Y,1.91
2021-02-18,30Y,2.08
2021-02-19,1Y,0.07
2021-02-19,2Y,0.11
2021-02-19,5Y,0.59
2021-02-19,10Y,1.34
2021-02-19,20Y,1.98
2021-02-19,30Y,2.14
2021-02-22,1Y,0.06
2021-02-22,2Y,0.11
2021-02-22,5Y,0.61
2021-02-22,10Y,1.37
2021-02-22,20Y,2.02
2021-02-22,30Y,2.19
2021-02-23,1Y,0.08
2021-02-23,2Y,0.11
2021-02-23,5Y,0.59
2021-02-23,10Y,1.37
2021-02-23,20Y,2.03
2021-02-23,30Y,2.21
2021-02-24,1Y,0.08
2021-02-24,2Y,0.12
2021-02-24,5Y,0.62
2021-02-24,10Y,1.38
2021-02-24,20Y,2.07
2021-02-24,30Y,2.24
2021-02-25,1Y,0.09
2021-02-25,2Y,0.17
2021-02-25,5Y,0.81
2021-02-25,10Y,1.54
2021-02-25,20Y,2.25
2021-02-25,30Y,2.33
2021-02-26,1Y,0.08
2021-02-26,2Y,0.14
2021-02-26,5Y,0.75
2021-02-26,10Y,1.44
2021-02-26,20Y,2.08
2021-02-26,30Y,2.17
2021-03-01,1Y,0.08
2021-03-01,2Y,0.13
2021-03-01,5Y,0.71
2021-03-01,10Y,1.45
2021-03-01,20Y,2.11
2021-03-01,30Y,2.23
2021-03-02,1Y,0.08
2021-03-02,2Y,0.13
2021-03-02,5Y,0.67
2021-03-02,10Y,1.42
2021-03-02,20Y,2.09
2021-03-02,30Y,2.21
2021-03-03,1Y,0.08
2021-03-03,2Y,0.14
2021-03-03,5Y,0.73
2021-03-03,10Y,1.47
2021-03-03,20Y,2.12
2021-03-03,30Y,2.25
2021-03-04,1Y,0.08
2021-03-04,2Y,0.14
2021-03-04,5Y,0.77
2021-03-04,10Y,1.54
2021-03-04,20Y,2.18
2021-03-04,30Y,2.3
2021-03-05,1Y,0.08
2021-03-05,2Y,0.14
2021-03-05,5Y,0.79
2021-03-05,10Y,1.56
2021-03-05,20Y,2.18
2021-03-05,30Y,2.28
2021-03-08,1Y,0.09
2021-03-08,2Y,0.17
2021-03-08,5Y,0.86
2021-03-08,10Y,1.59
2021-03-08,20Y,2.2
2021-03-08,30Y,2.31
2021-03-09,1Y,0.1
2021-03-09,2Y,0.17
2021-03-09,5Y,0.83
2021-03-09,10Y,1.55
2021-03-09,20Y,2.16
2021-03-09,30Y,2.26
2021-03-10,1Y,0.08
2021-03-10,2Y,0.16
2021-03-10,5Y,0.8
2021-03-10,10Y,1.53
2021-03-10,20Y,2.15
2021-03-10,30Y,2.24
2021-03-11,1Y,0.08
2021-03-11,2Y,0.14
2021-03-11,5Y,0.78
2021-03-11,10Y,1.54
2021-03-11,20Y,2.18
2021-03-11,30Y,2.29
2021-03-12,1Y,0.09
2021-03-12,2Y,0.14
2021-03-12,5Y,0.85
2021-03-12,10Y,1.64
2021-03-12,20Y,2.31
2021-03-12,30Y,2.4
2021-03-15,1Y,0.08
2021-03-15,2Y,0.14
2021-03-15,5Y,0.84
2021-03-15,10Y,1.62
2021-03-15,20Y,2.27
2021-03-15,30Y,2.37
2021-03-16,1Y,0.07
2021-03-16,2Y,0.15
2021-03-16,5Y,0.83
2021-03-16,10Y,1.62
2021-03-16,20Y,2.3
2021-03-16,30Y,2.38
2021-03-17,1Y,0.07
2021-03-17,2Y,0.13
2021-03-17,5Y,0.8
2021-03-17,10Y,1.63
2021-03-17,20Y,2.32
2021-03-17,30Y,2.42
2021-03-18,1Y,0.08
2021-03-18,2Y,0.16
2021-03-18,5Y,0.86
