date,tenor,yield
2025-01-02,1Y,4.17
2025-01-02,2Y,4.25
2025-01-02,5Y,4.38
2025-01-02,10Y,4.57
2025-01-02,20Y,4.86
2025-01-02,30Y,4.79
2025-01-03,1Y,4.18
2025-01-03,2Y,4.28
2025-01-03,5Y,4.41
2025-01-03,10Y,4.6
2025-01-03,20Y,4.88
2025-01-03,30Y,4.82
2025-01-06,1Y,4.17
2025-01-06,2Y,4.28
2025-01-06,5Y,4.42
2025-01-06,10Y,4.62
2025-01-06,20Y,4.91
2025-01-06,30Y,4.85
2025-01-07,1Y,4.19
2025-01-07,2Y,4.3
2025-01-07,5Y,4.46
2025-01-07,10Y,4.67
2025-01-07,20Y,4.97
2025-01-07,30Y,4.91
2025-01-08,1Y,4.19
2025-01-08,2Y,4.28
2025-01-08,5Y,4.45
2025-01-08,10Y,4.67
2025-01-08,20Y,4.97
2025-01-08,30Y,4.91
2025-01-09,1Y,4.16
2025-01-09,2Y,4.27
2025-01-09,5Y,4.46
2025-01-09,10Y,4.68
2025-01-09,20Y,4.98
2025-01-09,30Y,4.92
2025-01-10,1Y,4.25
2025-01-10,2Y,4.4
2025-01-10,5Y,4.59
2025-01-10,10Y,4.77
2025-01-10,20Y,5.04
2025-01-10,30Y,4.96
2025-01-13,1Y,4.24
2025-01-13,2Y,4.4
2025-01-13,5Y,4.61
2025-01-13,10Y,4.79
2025-01-13,20Y,5.05
2025-01-13,30Y,4.97
2025-01-14,1Y,4.22
2025-01-14,2Y,4.37
2025-01-14,5Y,4.59
2025-01-14,10Y,4.78
2025-01-14,20Y,5.06
2025-01-14,30Y,4.98
2025-01-15,1Y,4.19
2025-01-15,2Y,4.27
2025-01-15,5Y,4.45
2025-01-15,10Y,4.66
2025-01-15,20Y,4.95
2025-01-15,30Y,4.88
2025-01-16,1Y,4.18
2025-01-16,2Y,4.23
2025-01-16,5Y,4.39
2025-01-16,10Y,4.61
2025-01-16,20Y,4.91
2025-01-16,30Y,4.84
2025-01-17,1Y,4.21
2025-01-17,2Y,4.27
2025-01-17,5Y,4.42
2025-01-17,10Y,4.61
2025-01-17,20Y,4.91
2025-01-17,30Y,4.84
2025-01-21,1Y,4.21
2025-01-21,2Y,4.29
2025-01-21,5Y,4.4
2025-01-21,10Y,4.57
2025-01-21,20Y,4.87
2025-01-21,30Y,4.8
2025-01-22,1Y,4.2
2025-01-22,2Y,4.29
2025-01-22,5Y,4.43
2025-01-22,10Y,4.6
2025-01-22,20Y,4.89
2025-01-22,30Y,4.82
2025-01-23,1Y,4.18
2025-01-23,2Y,4.29
2025-01-23,5Y,4.45
2025-01-23,10Y,4.65
2025-01-23,20Y,4.92
2025-01-23,30Y,4.87
2025-01-24,1Y,4.17
2025-01-24,2Y,4.27
2025-01-24,5Y,4.43
2025-01-24,10Y,4.63
2025-01-24,20Y,4.91
2025-01-24,30Y,4.85
2025-01-27,1Y,4.13
2025-01-27,2Y,4.17
2025-01-27,5Y,4.32
2025-01-27,10Y,4.53
2025-01-27,20Y,4.82
2025-01-27,30Y,4.76
2025-01-28,1Y,4.14
2025-01-28,2Y,4.19
2025-01-28,5Y,4.33
2025-01-28,10Y,4.55
2025-01-28,20Y,4.84
2025-01-28,30Y,4.78
2025-01-29,1Y,4.17
2025-01-29,2Y,4.21
2025-01-29,5Y,4.35
2025-01-29,10Y,4.55
2025-01-29,20Y,4.85
2025-01-29,30Y,4.79
2025-01-30,1Y,4.16
2025-01-30,2Y,4.18
2025-01-30,5Y,4.31
2025-01-30,10Y,4.52
2025-01-30,20Y,4.81
2025-01-30,30Y,4.76
2025-01-31,1Y,4.17
2025-01-31,2Y,4.22
2025-01-31,5Y,4.36
2025-01-31,10Y,4.58
2025-01-31,20Y,4.88
2025-01-31,30Y,4.83
2025-02-03,1Y,4.2
2025-02-03,2Y,4.26
2025-02-03,5Y,4.35
2025-02-03,10Y,4.54
2025-02-03,20Y,4.82
2025-02-03,30Y,4.77
2025-02-04,1Y,4.18
2025-02-04,2Y,4.21
2025-02-04,5Y,4.31
2025-02-04,10Y,4.52
2025-02-04,20Y,4.81
2025-02-04,30Y,4.75
2025-02-05,1Y,4.17
2025-02-05,2Y,4.17
2025-02-05,5Y,4.24
2025-02-05,10Y,4.43
2025-02-05,20Y,4.69
2025-02-05,30Y,4.64
2025-02-06,1Y,4.19
2025-02-06,2Y,4.21
2025-02-06,5Y,4.28
2025-02-06,10Y,4.45
2025-02-06,20Y,4.7
2025-02-06,30Y,4.65
2025-02-07,1Y,4.25
2025-02-07,2Y,4.29
2025-02-07,5Y,4.34
2025-02-07,10Y,4.49
2025-02-07,20Y,4.75
2025-02-07,30Y,4.69
2025-02-10,1Y,4.24
2025-02-10,2Y,4.28
2025-02-10,5Y,4.34
2025-02-10,10Y,4.51
2025-02-10,20Y,4.76
2025-02-10,30Y,4.71
2025-02-11,1Y,4.25
2025-02-11,2Y,4.29
2025-02-11,5Y,4.37
2025-02-11,10Y,4.54
2025-02-11,20Y,4.8
2025-02-11,30Y,4.75
2025-02-12,1Y,4.3
2025-02-12,2Y,4.36
2025-02-12,5Y,4.48
2025-02-12,10Y,4.62
2025-02-12,20Y,4.9
2025-02-12,30Y,4.83
2025-02-13,1Y,4.27
2025-02-13,2Y,4.31
2025-02-13,5Y,4.39
2025-02-13,10Y,4.52
2025-02-13,20Y,4.79
2025-02-13,30Y,4.72
2025-02-14,1Y,4.23
2025-02-14,2Y,4.26
2025-02-14,5Y,4.33
2025-02-14,10Y,4.47
2025-02-14,20Y,4.75
2025-02-14,30Y,4.69
2025-02-18,1Y,4.24
2025-02-18,2Y,4.29
2025-02-18,5Y,4.4
2025-02-18,10Y,4.55
2025-02-18,20Y,4.83
2025-02-18,30Y,4.77
2025-02-19,1Y,4.22
2025-02-19,2Y,4.28
2025-02-19,5Y,4.37
2025-02-19,10Y,4.53
2025-02-19,20Y,4.79
2025-02-19,30Y,4.76
2025-02-20,1Y,4.2
2025-02-20,2Y,4.28
2025-02-20,5Y,4.34
2025-02-20,10Y,4.5
2025-02-20,20Y,4.77
2025-02-20,30Y,4.74
2025-02-21,1Y,4.15
2025-02-21,2Y,4.19
2025-02-21,5Y,4.26
2025-02-21,10Y,4.42
2025-02-21,20Y,4.69
2025-02-21,30Y,4.67
2025-02-24,1Y,4.15
2025-02-24,2Y,4.13
2025-02-24,5Y,4.23
2025-02-24,10Y,4.4
2025-02-24,20Y,4.69
2025-02-24,30Y,4.66
2025-02-25,1Y,4.12
2025-02-25,2Y,4.07
2025-02-25,5Y,4.12
2025-02-25,10Y,4.3
2025-02-25,20Y,4.59
2025-02-25,30Y,4.55
2025-02-26,1Y,4.12
2025-02-26,2Y,4.05
2025-02-26,5Y,4.06
2025-02-26,10Y,4.25
2025-02-26,20Y,4.55
2025-02-26,30Y,4.51
2025-02-27,1Y,4.13
2025-02-27,2Y,4.07
2025-02-27,5Y,4.09
2025-02-27,10Y,4.29
2025-02-27,20Y,4.59
2025-02-27,30Y,4.56
2025-02-28,1Y,4.08
2025-02-28,2Y,3.99
2025-02-28,5Y,4.03
2025-02-28,10Y,4.24
2025-02-28,20Y,4.55
2025-02-28,30Y,4.51
2025-03-03,1Y,4.06
2025-03-03,2Y,3.96
2025-03-03,5Y,3.97
2025-03-03,10Y,4.16
2025-03-03,20Y,4.49
2025-03-03,30Y,4.45
2025-03-04,1Y,4.04
2025-03-04,2Y,3.96
2025-03-04,5Y,4.01
2025-03-04,10Y,4.22
2025-03-04,20Y,4.56
2025-03-04,30Y,4.53
2025-03-05,1Y,4.06
2025-03-05,2Y,3.99
2025-03-05,5Y,4.08
2025-03-05,10Y,4.28
2025-03-05,20Y,4.61
2025-03-05,30Y,4.57
2025-03-06,1Y,4.02
2025-03-06,2Y,3.96
2025-03-06,5Y,4.06
2025-03-06,10Y,4.29
2025-03-06,20Y,4.63
2025-03-06,30Y,4.58
2025-03-07,1Y,4.05
2025-03-07,2Y,3.99
2025-03-07,5Y,4.09
2025-03-07,10Y,4.32
2025-03-07,20Y,4.66
2025-03-07,30Y,4.62
2025-03-10,1Y,3.98
2025-03-10,2Y,3.89
2025-03-10,5Y,3.98
2025-03-10,10Y,4.22
2025-03-10,20Y,4.58
2025-03-10,30Y,4.54
2025-03-11,1Y,4.03
2025-03-11,2Y,3.94
2025-03-11,5Y,4.03
2025-03-11,10Y,4.28
2025-03-11,20Y,4.63
2025-03-11,30Y,4.59
2025-03-12,1Y,4.07
2025-03-12,2Y,4.01
2025-03-12,5Y,4.09
2025-03-12,10Y,4.32
2025-03-12,20Y,4.67
2025-03-12,30Y,4.63
2025-03-13,1Y,4.03
2025-03-13,2Y,3.94
2025-03-13,5Y,4.02
2025-03-13,10Y,4.27
2025-03-13,20Y,4.63
2025-03-13,30Y,4.59
2025-03-14,1Y,4.09
2025-03-14,2Y,4.02
2025-03-14,5Y,4.09
2025-03-14,10Y,4.31
2025-03-14,20Y,4.65
2025-03-14,30Y,4.62
2025-03-17,1Y,4.11
2025-03-17,2Y,4.06
2025-03-17,5Y,4.11
2025-03-17,10Y,4.31
2025-03-17,20Y,4.64
2025-03-17,30Y,4.6
2025-03-18,1Y,4.13
2025-03-18,2Y,4.04
2025-03-18,5Y,4.07
2025-03-18,10Y,4.29
2025-03-18,20Y,4.61
2025-03-18,30Y,4.58
2025-03-19,1Y,4.1
2025-03-19,2Y,3.99
2025-03-19,5Y,4.03
2025-03-19,10Y,4.25
2025-03-19,20Y,4.58
2025-03-19,30Y,4.56
2025-03-20,1Y,4.06
2025-03-20,2Y,3.95
2025-03-20,5Y,4.01
2025-03-20,10Y,4.24
2025-03-20,20Y,4.57
2025-03-20,30Y,4.55
2025-03-21,1Y,4.04
2025-03-21,2Y,3.94
2025-03-21,5Y,4.0
2025-03-21,10Y,4.25
2025-03-21,20Y,4.6
2025-03-21,30Y,4.59
2025-03-24,1Y,4.11
2025-03-24,2Y,4.04
2025-03-24,5Y,4.09
2025-03-24,10Y,4.34
2025-03-24,20Y,4.68
2025-03-24,30Y,4.66
2025-03-25,1Y,4.09
2025-03-25,2Y,3.96
2025-03-25,5Y,4.07
2025-03-25,10Y,4.31
2025-03-25,20Y,4.67
2025-03-25,30Y,4.65
2025-03-26,1Y,4.1
2025-03-26,2Y,3.98
2025-03-26,5Y,4.08
2025-03-26,10Y,4.35
2025-03-26,20Y,4.71
2025-03-26,30Y,4.69
2025-03-27,1Y,4.1
2025-03-27,2Y,3.97
2025-03-27,5Y,4.09
2025-03-27,10Y,4.38
2025-03-27,20Y,4.75
2025-03-27,30Y,4.73
2025-03-28,1Y,4.04
2025-03-28,2Y,3.89
2025-03-28,5Y,3.98
2025-03-28,10Y,4.27
2025-03-28,20Y,4.65
2025-03-28,30Y,4.64
2025-03-31,1Y,4.03
2025-03-31,2Y,3.89
2025-03-31,5Y,3.96
2025-03-31,10Y,4.23
2025-03-31,20Y,4.62
2025-03-31,30Y,4.59
2025-04-01,1Y,4.01
2025-04-01,2Y,3.87
2025-04-01,5Y,3.91
2025-04-01,10Y,4.17
2025-04-01,20Y,4.56
2025-04-01,30Y,4.52
2025-04-02,1Y,4.04
2025-04-02,2Y,3.91
2025-04-02,5Y,3.95
2025-04-02,10Y,4.2
2025-04-02,20Y,4.58
2025-04-02,30Y,4.54
2025-04-03,1Y,3.92
2025-04-03,2Y,3.71
2025-04-03,5Y,3.75
2025-04-03,10Y,4.06
2025-04-03,20Y,4.51
2025-04-03,30Y,4.49
2025-04-04,1Y,3.86
2025-04-04,2Y,3.68
2025-04-04,5Y,3.72
2025-04-04,10Y,4.01
2025-04-04,20Y,4.44
2025-04-04,30Y,4.41
2025-04-07,1Y,3.86
2025-04-07,2Y,3.73
2025-04-07,5Y,3.82
2025-04-07,10Y,4.15
2025-04-07,20Y,4.61
2025-04-07,30Y,4.58
2025-04-08,1Y,3.83
2025-04-08,2Y,3.71
2025-04-08,5Y,3.88
2025-04-08,10Y,4.26
2025-04-08,20Y,4.76
2025-04-08,30Y,4.71
2025-04-09,1Y,4.03
2025-04-09,2Y,3.91
2025-04-09,5Y,4.06
2025-04-09,10Y,4.34
2025-04-09,20Y,4.78
2025-04-09,30Y,4.72
2025-04-10,1Y,3.97
2025-04-10,2Y,3.84
2025-04-10,5Y,4.04
2025-04-10,10Y,4.4
2025-04-10,20Y,4.9
2025-04-10,30Y,4.86
2025-04-11,1Y,4.04
2025-04-11,2Y,3.96
2025-04-11,5Y,4.15
2025-04-11,10Y,4.48
2025-04-11,20Y,4.91
2025-04-11,30Y,4.85
2025-04-14,1Y,3.99
2025-04-14,2Y,3.84
2025-04-14,5Y,4.02
2025-04-14,10Y,4.38
2025-04-14,20Y,4.84
2025-04-14,30Y,4.8
2025-04-15,1Y,3.99
2025-04-15,2Y,3.84
2025-04-15,5Y,3.98
2025-04-15,10Y,4.35
2025-04-15,20Y,4.82
2025-04-15,30Y,4.79
2025-04-16,1Y,3.96
2025-04-16,2Y,3.77
2025-04-16,5Y,3.91
2025-04-16,10Y,4.29
2025-04-16,20Y,4.77
2025-04-16,30Y,4.74
2025-04-17,1Y,3.99
2025-04-17,2Y,3.81
2025-04-17,5Y,3.95
2025-04-17,10Y,4.34
2025-04-17,20Y,4.82
2025-04-17,30Y,4.8
2025-04-21,1Y,3.95
2025-04-21,2Y,3.75
2025-04-21,5Y,3.97
2025-04-21,10Y,4.42
2025-04-21,20Y,4.94
2025-04-21,30Y,4.91
2025-04-22,1Y,3.98
2025-04-22,2Y,3.76
2025-04-22,5Y,3.98
2025-04-22,10Y,4.41
2025-04-22,20Y,4.9
2025-04-22,30Y,4.88
2025-04-23,1Y,4.01
2025-04-23,2Y,3.81
2025-04-23,5Y,4.0
2025-04-23,10Y,4.4
2025-04-23,20Y,4.86
2025-04-23,30Y,4.83
2025-04-24,1Y,3.97
2025-04-24,2Y,3.77
2025-04-24,5Y,3.91
2025-04-24,10Y,4.32
2025-04-24,20Y,4.79
2025-04-24,30Y,4.77
2025-04-25,1Y,3.95
2025-04-25,2Y,3.74
2025-04-25,5Y,3.88
2025-04-25,10Y,4.29
2025-04-25,20Y,4.75
2025-04-25,30Y,4.74
2025-04-28,1Y,3.92
2025-04-28,2Y,3.67
2025-04-28,5Y,3.81
2025-04-28,10Y,4.23
2025-04-28,20Y,4.71
2025-04-28,30Y,4.69
2025-04-29,1Y,3.89
2025-04-29,2Y,3.65
2025-04-29,5Y,3.77
2025-04-29,10Y,4.19
2025-04-29,20Y,4.66
2025-04-29,30Y,4.64
2025-04-30,1Y,3.85
2025-04-30,2Y,3.6
2025-04-30,5Y,3.72
2025-04-30,10Y,4.17
2025-04-30,20Y,4.68
2025-04-30,30Y,4.66
2025-05-01,1Y,3.92
2025-05-01,2Y,3.7
2025-05-01,5Y,3.81
2025-05-01,10Y,4.25
2025-05-01,20Y,4.75
2025-05-01,30Y,4.74
2025-05-02,1Y,4.0
2025-05-02,2Y,3.83
2025-05-02,5Y,3.92
2025-05-02,10Y,4.33
2025-05-02,20Y,4.81
2025-05-02,30Y,4.79
2025-05-05,1Y,4.02
2025-05-05,2Y,3.83
2025-05-05,5Y,3.95
2025-05-05,10Y,4.36
2025-05-05,20Y,4.84
2025-05-05,30Y,4.83
2025-05-06,1Y,3.98
2025-05-06,2Y,3.78
2025-05-06,5Y,3.9
2025-05-06,10Y,4.3
2025-05-06,20Y,4.82
2025-05-06,30Y,4.81
2025-05-07,1Y,4.0
2025-05-07,2Y,3.78
2025-05-07,5Y,3.87
2025-05-07,10Y,4.26
2025-05-07,20Y,4.78
2025-05-07,30Y,4.77
2025-05-08,1Y,4.05
2025-05-08,2Y,3.9
2025-05-08,5Y,4.0
2025-05-08,10Y,4.37
2025-05-08,20Y,4.86
2025-05-08,30Y,4.83
2025-05-09,1Y,4.05
2025-05-09,2Y,3.88
2025-05-09,5Y,4.0
2025-05-09,10Y,4.37
2025-05-09,20Y,4.86
2025-05-09,30Y,4.83
2025-05-12,1Y,4.11
2025-05-12,2Y,3.98
2025-05-12,5Y,4.09
2025-05-12,10Y,4.45
2025-05-12,20Y,4.92
2025-05-12,30Y,4.89
2025-05-13,1Y,4.11
2025-05-13,2Y,4.02
2025-05-13,5Y,4.12
2025-05-13,10Y,4.49
2025-05-13,20Y,4.97
2025-05-13,30Y,4.94
2025-05-14,1Y,4.14
2025-05-14,2Y,4.05
2025-05-14,5Y,4.17
2025-05-14,10Y,4.53
2025-05-14,20Y,5.0
2025-05-14,30Y,4.97
2025-05-15,1Y,4.1
2025-05-15,2Y,3.96
2025-05-15,5Y,4.07
2025-05-15,10Y,4.45
2025-05-15,20Y,4.93
2025-05-15,30Y,4.91
2025-05-16,1Y,4.13
2025-05-16,2Y,3.98
2025-05-16,5Y,4.06
2025-05-16,10Y,4.43
2025-05-16,20Y,4.92
2025-05-16,30Y,4.89
2025-05-19,1Y,4.12
2025-05-19,2Y,3.97
2025-05-19,5Y,4.07
2025-05-19,10Y,4.46
2025-05-19,20Y,4.95
2025-05-19,30Y,4.92
2025-05-20,1Y,4.12
2025-05-20,2Y,3.97
2025-05-20,5Y,4.07
2025-05-20,10Y,4.48
2025-05-20,20Y,4.99
2025-05-20,30Y,4.96
2025-05-21,1Y,4.13
2025-05-21,2Y,4.0
2025-05-21,5Y,4.15
2025-05-21,10Y,4.58
2025-05-21,20Y,5.08
2025-05-21,30Y,5.08
2025-05-22,1Y,4.13
2025-05-22,2Y,4.0
