date,tenor,yield
2025-05-22,5Y,4.11
2025-05-22,10Y,4.54
2025-05-22,20Y,5.05
2025-05-22,30Y,5.05
2025-05-23,1Y,4.15
2025-05-23,2Y,4.0
2025-05-23,5Y,4.08
2025-05-23,10Y,4.51
2025-05-23,20Y,5.03
2025-05-23,30Y,5.04
2025-05-27,1Y,4.14
2025-05-27,2Y,3.92
2025-05-27,5Y,4.04
2025-05-27,10Y,4.43
2025-05-27,20Y,4.95
2025-05-27,30Y,4.94
2025-05-28,1Y,4.16
2025-05-28,2Y,3.96
2025-05-28,5Y,4.05
2025-05-28,10Y,4.47
2025-05-28,20Y,4.99
2025-05-28,30Y,4.97
2025-05-29,1Y,4.13
2025-05-29,2Y,3.92
2025-05-29,5Y,4.0
2025-05-29,10Y,4.43
2025-05-29,20Y,4.94
2025-05-29,30Y,4.92
2025-05-30,1Y,4.11
2025-05-30,2Y,3.89
2025-05-30,5Y,3.96
2025-05-30,10Y,4.41
2025-05-30,20Y,4.93
2025-05-30,30Y,4.92
2025-06-02,1Y,4.12
2025-06-02,2Y,3.94
2025-06-02,5Y,4.01
2025-06-02,10Y,4.46
2025-06-02,20Y,5.0
2025-06-02,30Y,4.99
2025-06-03,1Y,4.12
2025-06-03,2Y,3.96
2025-06-03,5Y,4.04
2025-06-03,10Y,4.46
2025-06-03,20Y,5.0
2025-06-03,30Y,4.98
2025-06-04,1Y,4.06
2025-06-04,2Y,3.87
2025-06-04,5Y,3.93
2025-06-04,10Y,4.37
2025-06-04,20Y,4.9
2025-06-04,30Y,4.89
2025-06-05,1Y,4.08
2025-06-05,2Y,3.92
2025-06-05,5Y,3.99
2025-06-05,10Y,4.4
2025-06-05,20Y,4.9
2025-06-05,30Y,4.88
2025-06-06,1Y,4.14
2025-06-06,2Y,4.04
2025-06-06,5Y,4.13
2025-06-06,10Y,4.51
2025-06-06,20Y,4.99
2025-06-06,30Y,4.97
2025-06-09,1Y,4.13
2025-06-09,2Y,4.01
2025-06-09,5Y,4.09
2025-06-09,10Y,4.49
2025-06-09,20Y,4.98
2025-06-09,30Y,4.95
2025-06-10,1Y,4.12
2025-06-10,2Y,4.01
2025-06-10,5Y,4.08
2025-06-10,10Y,4.47
2025-06-10,20Y,4.96
2025-06-10,30Y,4.93
2025-06-11,1Y,4.08
2025-06-11,2Y,3.94
2025-06-11,5Y,4.02
2025-06-11,10Y,4.41
2025-06-11,20Y,4.93
2025-06-11,30Y,4.91
2025-06-12,1Y,4.06
2025-06-12,2Y,3.9
2025-06-12,5Y,3.97
2025-06-12,10Y,4.36
2025-06-12,20Y,4.86
2025-06-12,30Y,4.84
2025-06-13,1Y,4.09
2025-06-13,2Y,3.96
2025-06-13,5Y,4.02
2025-06-13,10Y,4.41
2025-06-13,20Y,4.93
2025-06-13,30Y,4.9
2025-06-16,1Y,4.1
2025-06-16,2Y,3.97
2025-06-16,5Y,4.04
2025-06-16,10Y,4.46
2025-06-16,20Y,4.97
2025-06-16,30Y,4.96
2025-06-17,1Y,4.1
2025-06-17,2Y,3.94
2025-06-17,5Y,3.99
2025-06-17,10Y,4.39
2025-06-17,20Y,4.89
2025-06-17,30Y,4.88
2025-06-18,1Y,4.1
2025-06-18,2Y,3.94
2025-06-18,5Y,3.98
2025-06-18,10Y,4.38
2025-06-18,20Y,4.89
2025-06-18,30Y,4.88
2025-06-20,1Y,4.07
2025-06-20,2Y,3.9
2025-06-20,5Y,3.96
2025-06-20,10Y,4.38
2025-06-20,20Y,4.9
2025-06-20,30Y,4.89
2025-06-23,1Y,4.0
2025-06-23,2Y,3.84
2025-06-23,5Y,3.91
2025-06-23,10Y,4.34
2025-06-23,20Y,4.87
2025-06-23,30Y,4.87
2025-06-24,1Y,3.99
2025-06-24,2Y,3.75
2025-06-24,5Y,3.86
2025-06-24,10Y,4.3
2025-06-24,20Y,4.83
2025-06-24,30Y,4.83
2025-06-25,1Y,3.99
2025-06-25,2Y,3.74
2025-06-25,5Y,3.83
2025-06-25,10Y,4.29
2025-06-25,20Y,4.83
2025-06-25,30Y,4.83
2025-06-26,1Y,3.96
2025-06-26,2Y,3.7
2025-06-26,5Y,3.79
2025-06-26,10Y,4.26
2025-06-26,20Y,4.81
2025-06-26,30Y,4.81
2025-06-27,1Y,3.97
2025-06-27,2Y,3.73
2025-06-27,5Y,3.83
2025-06-27,10Y,4.29
2025-06-27,20Y,4.85
2025-06-27,30Y,4.85
2025-06-30,1Y,3.96
2025-06-30,2Y,3.72
2025-06-30,5Y,3.79
2025-06-30,10Y,4.24
2025-06-30,20Y,4.79
2025-06-30,30Y,4.78
2025-07-01,1Y,3.98
2025-07-01,2Y,3.78
2025-07-01,5Y,3.84
2025-07-01,10Y,4.26
2025-07-01,20Y,4.79
2025-07-01,30Y,4.78
2025-07-02,1Y,3.99
2025-07-02,2Y,3.78
2025-07-02,5Y,3.87
2025-07-02,10Y,4.3
2025-07-02,20Y,4.84
2025-07-02,30Y,4.82
2025-07-03,1Y,4.07
2025-07-03,2Y,3.88
2025-07-03,5Y,3.94
2025-07-03,10Y,4.35
2025-07-03,20Y,4.87
2025-07-03,30Y,4.86
2025-07-07,1Y,4.08
2025-07-07,2Y,3.9
2025-07-07,5Y,3.96
2025-07-07,10Y,4.4
2025-07-07,20Y,4.93
2025-07-07,30Y,4.92
2025-07-08,1Y,4.11
2025-07-08,2Y,3.9
2025-07-08,5Y,3.99
2025-07-08,10Y,4.42
2025-07-08,20Y,4.95
2025-07-08,30Y,4.94
2025-07-09,1Y,4.07
2025-07-09,2Y,3.86
2025-07-09,5Y,3.92
2025-07-09,10Y,4.34
2025-07-09,20Y,4.87
2025-07-09,30Y,4.87
2025-07-10,1Y,4.07
2025-07-10,2Y,3.86
2025-07-10,5Y,3.93
2025-07-10,10Y,4.35
2025-07-10,20Y,4.87
2025-07-10,30Y,4.86
2025-07-11,1Y,4.09
2025-07-11,2Y,3.9
2025-07-11,5Y,3.99
2025-07-11,10Y,4.43
2025-07-11,20Y,4.96
2025-07-11,30Y,4.96
2025-07-14,1Y,4.08
2025-07-14,2Y,3.9
2025-07-14,5Y,3.98
2025-07-14,10Y,4.43
2025-07-14,20Y,4.97
2025-07-14,30Y,4.97
2025-07-15,1Y,4.12
2025-07-15,2Y,3.95
2025-07-15,5Y,4.05
2025-07-15,10Y,4.5
2025-07-15,20Y,5.02
2025-07-15,30Y,5.01
2025-07-16,1Y,4.08
2025-07-16,2Y,3.88
2025-07-16,5Y,3.99
2025-07-16,10Y,4.46
2025-07-16,20Y,5.01
2025-07-16,30Y,5.01
2025-07-17,1Y,4.1
2025-07-17,2Y,3.91
2025-07-17,5Y,4.01
2025-07-17,10Y,4.47
2025-07-17,20Y,5.01
2025-07-17,30Y,5.01
2025-07-18,1Y,4.08
2025-07-18,2Y,3.88
2025-07-18,5Y,3.96
2025-07-18,10Y,4.44
2025-07-18,20Y,4.99
2025-07-18,30Y,5.0
2025-07-21,1Y,4.06
2025-07-21,2Y,3.85
2025-07-21,5Y,3.91
2025-07-21,10Y,4.38
2025-07-21,20Y,4.93
2025-07-21,30Y,4.94
2025-07-22,1Y,4.05
2025-07-22,2Y,3.83
2025-07-22,5Y,3.88
2025-07-22,10Y,4.35
2025-07-22,20Y,4.9
2025-07-22,30Y,4.9
2025-07-23,1Y,4.08
2025-07-23,2Y,3.88
2025-07-23,5Y,3.94
2025-07-23,10Y,4.4
2025-07-23,20Y,4.93
2025-07-23,30Y,4.95
2025-07-24,1Y,4.1
2025-07-24,2Y,3.91
2025-07-24,5Y,3.98
2025-07-24,10Y,4.43
2025-07-24,20Y,4.95
2025-07-24,30Y,4.96
2025-07-25,1Y,4.09
2025-07-25,2Y,3.91
2025-07-25,5Y,3.95
2025-07-25,10Y,4.4
2025-07-25,20Y,4.92
2025-07-25,30Y,4.92
2025-07-28,1Y,4.09
2025-07-28,2Y,3.91
2025-07-28,5Y,3.96
2025-07-28,10Y,4.42
2025-07-28,20Y,4.95
2025-07-28,30Y,4.96
2025-07-29,1Y,4.07
2025-07-29,2Y,3.86
2025-07-29,5Y,3.9
2025-07-29,10Y,4.34
2025-07-29,20Y,4.86
2025-07-29,30Y,4.86
2025-07-30,1Y,4.12
2025-07-30,2Y,3.94
2025-07-30,5Y,3.96
2025-07-30,10Y,4.38
2025-07-30,20Y,4.9
2025-07-30,30Y,4.89
2025-07-31,1Y,4.1
2025-07-31,2Y,3.94
2025-07-31,5Y,3.96
2025-07-31,10Y,4.37
2025-07-31,20Y,4.89
2025-07-31,30Y,4.89
2025-08-01,1Y,3.87
2025-08-01,2Y,3.69
2025-08-01,5Y,3.77
2025-08-01,10Y,4.23
2025-08-01,20Y,4.79
2025-08-01,30Y,4.81
2025-08-04,1Y,3.82
2025-08-04,2Y,3.69
2025-08-04,5Y,3.75
2025-08-04,10Y,4.22
2025-08-04,20Y,4.78
2025-08-04,30Y,4.8
2025-08-05,1Y,3.92
2025-08-05,2Y,3.72
2025-08-05,5Y,3.77
2025-08-05,10Y,4.22
2025-08-05,20Y,4.77
2025-08-05,30Y,4.78
2025-08-06,1Y,3.9
2025-08-06,2Y,3.69
2025-08-06,5Y,3.77
2025-08-06,10Y,4.22
2025-08-06,20Y,4.8
2025-08-06,30Y,4.81
2025-08-07,1Y,3.92
2025-08-07,2Y,3.72
2025-08-07,5Y,3.79
2025-08-07,10Y,4.23
2025-08-07,20Y,4.81
2025-08-07,30Y,4.81
2025-08-08,1Y,3.93
2025-08-08,2Y,3.76
2025-08-08,5Y,3.84
2025-08-08,10Y,4.27
2025-08-08,20Y,4.84
2025-08-08,30Y,4.85
2025-08-11,1Y,3.93
2025-08-11,2Y,3.76
2025-08-11,5Y,3.83
2025-08-11,10Y,4.27
2025-08-11,20Y,4.83
2025-08-11,30Y,4.84
2025-08-12,1Y,3.9
2025-08-12,2Y,3.72
2025-08-12,5Y,3.83
2025-08-12,10Y,4.29
2025-08-12,20Y,4.87
2025-08-12,30Y,4.88
2025-08-13,1Y,3.86
2025-08-13,2Y,3.67
2025-08-13,5Y,3.77
2025-08-13,10Y,4.24
2025-08-13,20Y,4.81
2025-08-13,30Y,4.83
2025-08-14,1Y,3.91
2025-08-14,2Y,3.74
2025-08-14,5Y,3.82
2025-08-14,10Y,4.29
2025-08-14,20Y,4.86
2025-08-14,30Y,4.88
2025-08-15,1Y,3.93
2025-08-15,2Y,3.75
