date,tenor,yield
2020-01-02,1Y,1.56
2020-01-02,2Y,1.58
2020-01-02,5Y,1.67
2020-01-02,10Y,1.88
2020-01-02,20Y,2.19
2020-01-02,30Y,2.33
2020-01-03,1Y,1.55
2020-01-03,2Y,1.53
2020-01-03,5Y,1.59
2020-01-03,10Y,1.8
2020-01-03,20Y,2.11
2020-01-03,30Y,2.26
2020-01-06,1Y,1.54
2020-01-06,2Y,1.54
2020-01-06,5Y,1.61
2020-01-06,10Y,1.81
2020-01-06,20Y,2.13
2020-01-06,30Y,2.28
2020-01-07,1Y,1.53
2020-01-07,2Y,1.54
2020-01-07,5Y,1.62
2020-01-07,10Y,1.83
2020-01-07,20Y,2.16
2020-01-07,30Y,2.31
2020-01-08,1Y,1.55
2020-01-08,2Y,1.58
2020-01-08,5Y,1.67
2020-01-08,10Y,1.87
2020-01-08,20Y,2.21
2020-01-08,30Y,2.35
2020-01-09,1Y,1.54
2020-01-09,2Y,1.58
2020-01-09,5Y,1.65
2020-01-09,10Y,1.85
2020-01-09,20Y,2.17
2020-01-09,30Y,2.38
2020-01-10,1Y,1.53
2020-01-10,2Y,1.56
2020-01-10,5Y,1.63
2020-01-10,10Y,1.83
2020-01-10,20Y,2.14
2020-01-10,30Y,2.28
2020-01-13,1Y,1.53
2020-01-13,2Y,1.58
2020-01-13,5Y,1.65
2020-01-13,10Y,1.85
2020-01-13,20Y,2.16
2020-01-13,30Y,2.3
2020-01-14,1Y,1.53
2020-01-14,2Y,1.58
2020-01-14,5Y,1.63
2020-01-14,10Y,1.82
2020-01-14,20Y,2.12
2020-01-14,30Y,2.27
2020-01-15,1Y,1.54
2020-01-15,2Y,1.56
2020-01-15,5Y,1.6
2020-01-15,10Y,1.79
2020-01-15,20Y,2.09
2020-01-15,30Y,2.23
2020-01-16,1Y,1.54
2020-01-16,2Y,1.58
2020-01-16,5Y,1.63
2020-01-16,10Y,1.81
2020-01-16,20Y,2.11
2020-01-16,30Y,2.26
2020-01-17,1Y,1.56
2020-01-17,2Y,1.58
2020-01-17,5Y,1.63
2020-01-17,10Y,1.84
2020-01-17,20Y,2.16
2020-01-17,30Y,2.29
2020-01-21,1Y,1.54
2020-01-21,2Y,1.53
2020-01-21,5Y,1.57
2020-01-21,10Y,1.78
2020-01-21,20Y,2.1
2020-01-21,30Y,2.23
2020-01-22,1Y,1.55
2020-01-22,2Y,1.53
2020-01-22,5Y,1.57
2020-01-22,10Y,1.77
2020-01-22,20Y,2.07
2020-01-22,30Y,2.22
2020-01-23,1Y,1.55
2020-01-23,2Y,1.51
2020-01-23,5Y,1.55
2020-01-23,10Y,1.74
2020-01-23,20Y,2.03
2020-01-23,30Y,2.18
2020-01-24,1Y,1.55
2020-01-24,2Y,1.49
2020-01-24,5Y,1.51
2020-01-24,10Y,1.7
2020-01-24,20Y,2.0
2020-01-24,30Y,2.14
2020-01-27,1Y,1.53
2020-01-27,2Y,1.44
2020-01-27,5Y,1.44
2020-01-27,10Y,1.61
2020-01-27,20Y,1.91
2020-01-27,30Y,2.05
2020-01-28,1Y,1.53
2020-01-28,2Y,1.45
2020-01-28,5Y,1.47
2020-01-28,10Y,1.65
2020-01-28,20Y,1.95
2020-01-28,30Y,2.1
2020-01-29,1Y,1.51
2020-01-29,2Y,1.42
2020-01-29,5Y,1.41
2020-01-29,10Y,1.6
2020-01-29,20Y,1.89
2020-01-29,30Y,2.05
2020-01-30,1Y,1.48
2020-01-30,2Y,1.41
2020-01-30,5Y,1.39
2020-01-30,10Y,1.57
2020-01-30,20Y,1.88
2020-01-30,30Y,2.04
2020-01-31,1Y,1.45
2020-01-31,2Y,1.33
2020-01-31,5Y,1.32
2020-01-31,10Y,1.51
2020-01-31,20Y,1.83
2020-01-31,30Y,1.99
2020-02-03,1Y,1.46
2020-02-03,2Y,1.36
2020-02-03,5Y,1.35
2020-02-03,10Y,1.54
2020-02-03,20Y,1.84
2020-02-03,30Y,2.01
2020-02-04,1Y,1.48
2020-02-04,2Y,1.41
2020-02-04,5Y,1.42
2020-02-04,10Y,1.61
2020-02-04,20Y,1.91
2020-02-04,30Y,2.08
2020-02-05,1Y,1.49
2020-02-05,2Y,1.44
2020-02-05,5Y,1.46
2020-02-05,10Y,1.66
2020-02-05,20Y,1.97
2020-02-05,30Y,2.14
2020-02-06,1Y,1.51
2020-02-06,2Y,1.44
2020-02-06,5Y,1.45
2020-02-06,10Y,1.65
2020-02-06,20Y,1.94
2020-02-06,30Y,2.11
2020-02-07,1Y,1.49
2020-02-07,2Y,1.41
2020-02-07,5Y,1.41
2020-02-07,10Y,1.59
2020-02-07,20Y,1.89
2020-02-07,30Y,2.05
2020-02-10,1Y,1.45
2020-02-10,2Y,1.37
2020-02-10,5Y,1.38
2020-02-10,10Y,1.56
2020-02-10,20Y,1.87
2020-02-10,30Y,2.03
2020-02-11,1Y,1.48
2020-02-11,2Y,1.41
2020-02-11,5Y,1.4
2020-02-11,10Y,1.59
2020-02-11,20Y,1.89
2020-02-11,30Y,2.05
2020-02-12,1Y,1.49
2020-02-12,2Y,1.44
2020-02-12,5Y,1.45
