date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2026-01-05,2Y,1.1408,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.955,1.988
2026-01-05,5Y,1.5507,3,JGB123(20)|JGB124(20)|JGB361(10),4.956,4.956
2026-01-05,10Y,2.0643,3,JGB WI(10)-01|JGB155(20)|JGB21(30),9.955,9.955
2026-01-05,20Y,2.945,1,JGB49(30),19.956,19.956
2026-01-05,30Y,3.364,1,JGB WI(30)-01,29.955,29.955
2026-01-05,40Y,3.486,1,JGB18(40),39.203,39.203
2026-01-06,2Y,1.1636,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.952,1.985
2026-01-06,5Y,1.5967,3,JGB123(20)|JGB124(20)|JGB361(10),4.953,4.953
2026-01-06,10Y,2.1093,3,JGB WI(10)-01|JGB155(20)|JGB21(30),9.952,9.952
2026-01-06,20Y,2.994,1,JGB49(30),19.953,19.953
2026-01-06,30Y,3.404,1,JGB WI(30)-01,29.952,29.952
2026-01-06,40Y,3.516,1,JGB18(40),39.201,39.201
2026-01-07,2Y,1.1558,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.949,1.982
2026-01-07,5Y,1.5917,3,JGB123(20)|JGB124(20)|JGB361(10),4.95,4.95
2026-01-07,10Y,2.119,3,JGB155(20)|JGB21(30)|JGB381(10),9.949,9.949
2026-01-07,20Y,3.024,1,JGB49(30),19.951,19.951
2026-01-07,30Y,3.43,1,JGB WI(30)-01,29.949,29.949
2026-01-07,40Y,3.551,1,JGB18(40),39.198,39.198
2026-01-08,2Y,1.145,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.947,1.979
2026-01-08,5Y,1.5873,4,JGB WI(5)-01|JGB123(20)|JGB124(20)|JGB361(10),4.947,4.947
2026-01-08,10Y,2.1187,3,JGB155(20)|JGB21(30)|JGB381(10),9.947,9.947
2026-01-08,20Y,3.037,1,JGB49(30),19.948,19.948
2026-01-08,30Y,3.44,1,JGB WI(30)-01,29.947,29.947
2026-01-08,40Y,3.577,1,JGB18(40),39.195,39.195
2026-01-09,2Y,1.1006,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.944,1.977
2026-01-09,5Y,1.5388,4,JGB WI(5)-01|JGB123(20)|JGB124(20)|JGB361(10),4.945,4.945
2026-01-09,10Y,2.0777,3,JGB155(20)|JGB21(30)|JGB381(10),9.944,9.944
2026-01-09,20Y,3.023,1,JGB49(30),19.945,19.945
2026-01-09,30Y,3.435,1,JGB89(30),29.944,29.944
2026-01-09,40Y,3.603,1,JGB18(40),39.192,39.192
2026-01-13,2Y,1.1234,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.933,1.966
2026-01-13,5Y,1.5655,4,JGB WI(5)-01|JGB123(20)|JGB124(20)|JGB361(10),4.934,4.934
2026-01-13,10Y,2.0917,3,JGB155(20)|JGB21(30)|JGB381(10),9.933,9.933
2026-01-13,20Y,3.009,1,JGB49(30),19.934,19.934
2026-01-13,30Y,3.4,1,JGB89(30),29.933,29.933
2026-01-13,40Y,3.556,1,JGB18(40),39.181,39.181
2026-01-14,2Y,1.1336,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.93,1.963
2026-01-14,5Y,1.6158,4,JGB WI(5)-01|JGB123(20)|JGB124(20)|JGB361(10),4.931,4.931
2026-01-14,10Y,2.1537,3,JGB155(20)|JGB21(30)|JGB381(10),9.93,9.93
2026-01-14,20Y,3.0795,2,JGB WI(20)-01|JGB49(30),19.932,19.932
2026-01-14,30Y,3.463,1,JGB89(30),29.93,29.93
2026-01-14,40Y,3.635,1,JGB18(40),39.179,39.179
2026-01-15,2Y,1.1508,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.927,1.96
2026-01-15,5Y,1.6345,4,JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.928,4.928
2026-01-15,10Y,2.1717,3,JGB155(20)|JGB21(30)|JGB381(10),9.927,9.927
2026-01-15,20Y,3.0965,2,JGB WI(20)-01|JGB49(30),19.929,19.929
2026-01-15,30Y,3.487,1,JGB89(30),29.927,29.927
2026-01-15,40Y,3.658,1,JGB18(40),39.176,39.176
2026-01-16,2Y,1.1588,5,JGB155(5)|JGB156(5)|JGB349(10)|JGB480(2)|JGB99(20),1.925,1.958
2026-01-16,5Y,1.6275,4,JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.925,4.925
2026-01-16,10Y,2.1537,3,JGB155(20)|JGB21(30)|JGB381(10),9.925,9.925
2026-01-16,20Y,3.0755,2,JGB WI(20)-01|JGB49(30),19.926,19.926
2026-01-16,30Y,3.455,1,JGB89(30),29.925,29.925
2026-01-16,40Y,3.629,1,JGB18(40),39.173,39.173
2026-01-19,2Y,1.198,1,JGB480(2),1.949,1.949
2026-01-19,5Y,1.6362,4,JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.917,4.917
2026-01-19,10Y,2.1717,3,JGB155(20)|JGB21(30)|JGB381(10),9.916,9.916
2026-01-19,20Y,3.09,2,JGB WI(20)-01|JGB49(30),19.918,19.918
2026-01-19,30Y,3.463,1,JGB89(30),29.916,29.916
2026-01-19,40Y,3.629,1,JGB18(40),39.165,39.165
2026-01-20,2Y,1.219,1,JGB480(2),1.947,1.947
2026-01-20,5Y,1.6812,5,GXJGB WI(5)-01|JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.914,4.914
2026-01-20,10Y,2.255,3,JGB155(20)|JGB21(30)|JGB381(10),9.914,9.914
2026-01-20,20Y,3.17,2,JGB WI(20)-01|JGB49(30),19.915,19.915
2026-01-20,30Y,3.564,1,JGB89(30),29.914,29.914
2026-01-20,40Y,3.733,1,JGB18(40),39.162,39.162
2026-01-21,2Y,1.209,1,JGB480(2),1.944,1.944
2026-01-21,5Y,1.6896,5,GXJGB WI(5)-01|JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.912,4.912
2026-01-21,10Y,2.3183,3,JGB155(20)|JGB21(30)|JGB381(10),9.911,9.911
2026-01-21,20Y,3.3205,2,JGB195(20)|JGB49(30),19.912,19.912
2026-01-21,30Y,3.768,1,JGB89(30),29.911,29.911
2026-01-21,40Y,3.924,1,JGB18(40),39.159,39.159
2026-01-22,2Y,1.225,1,JGB480(2),1.941,1.941
2026-01-22,5Y,1.6748,5,GXJGB WI(5)-01|JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.909,4.909
2026-01-22,10Y,2.2687,3,JGB155(20)|JGB21(30)|JGB381(10),9.908,9.908
2026-01-22,20Y,3.2455,2,JGB195(20)|JGB49(30),19.91,19.91
2026-01-22,30Y,3.649,1,JGB89(30),29.908,29.908
2026-01-22,40Y,3.8135,2,JGB WI(40)-01|JGB18(40),39.157,39.157
2026-01-23,2Y,1.214,1,JGB480(2),1.938,1.938
2026-01-23,5Y,1.6566,5,GXJGB WI(5)-01|JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.906,4.906
2026-01-23,10Y,2.2273,3,JGB155(20)|JGB21(30)|JGB381(10),9.906,9.906
2026-01-23,20Y,3.196,2,JGB195(20)|JGB49(30),19.907,19.907
2026-01-23,30Y,3.607,1,JGB89(30),29.906,29.906
2026-01-23,40Y,3.77,2,JGB WI(40)-01|JGB18(40),39.154,39.154
2026-01-26,2Y,1.2605,2,JGB WI(2)-02|JGB480(2),1.93,2.015
2026-01-26,5Y,1.6856,5,GXJGB WI(5)-01|JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.898,4.898
2026-01-26,10Y,2.2407,3,JGB155(20)|JGB21(30)|JGB381(10),9.897,9.897
2026-01-26,20Y,3.1905,2,JGB195(20)|JGB49(30),19.899,19.899
2026-01-26,30Y,3.588,1,JGB89(30),29.897,29.897
2026-01-26,40Y,3.7285,2,JGB WI(40)-01|JGB18(40),39.146,39.146
2026-01-27,2Y,1.276,2,JGB WI(2)-02|JGB480(2),1.927,2.012
2026-01-27,5Y,1.681,5,GXJGB4(5)|JGB123(20)|JGB124(20)|JGB183(5)|JGB361(10),4.895,4.895
2026-01-27,10Y,2.2223,3,JGB155(20)|JGB21(30)|JGB381(10),9.895,9.895
2026-01-27,20Y,3.17,2,JGB195(20)|JGB49(30),19.896,19.896
2026-01-27,30Y,3.572,1,JGB89(30),29.895,29.895
