date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2022-01-04,2Y,-0.0974,5,JGB138(5)|JGB332(10)|JGB432(2)|JGB65(20)|JGB66(20),1.958,1.99
2022-01-04,5Y,-0.0825,2,JGB345(10)|JGB92(20),4.958,4.958
2022-01-04,10Y,0.0857,3,JGB WI(10)-01|JGB132(20)|JGB133(20),9.958,9.958
2022-01-04,20Y,0.487,1,JGB36(30),20.205,20.205
2022-01-04,30Y,0.695,1,JGB WI(30)-01,29.958,29.958
2022-01-04,40Y,0.74,1,JGB14(40),39.206,39.206
2022-01-05,2Y,-0.092,5,JGB138(5)|JGB332(10)|JGB432(2)|JGB65(20)|JGB66(20),1.955,1.988
2022-01-05,5Y,-0.073,2,JGB345(10)|JGB92(20),4.956,4.956
2022-01-05,10Y,0.101,3,JGB WI(10)-01|JGB132(20)|JGB133(20),9.955,9.955
2022-01-05,20Y,0.498,1,JGB36(30),20.203,20.203
2022-01-05,30Y,0.695,1,JGB WI(30)-01,29.955,29.955
2022-01-05,40Y,0.74,1,JGB14(40),39.203,39.203
2022-01-06,2Y,-0.0926,5,JGB138(5)|JGB332(10)|JGB432(2)|JGB65(20)|JGB66(20),1.952,1.985
2022-01-06,5Y,-0.0707,3,JGB WI(5)-01|JGB345(10)|JGB92(20),4.953,4.953
2022-01-06,10Y,0.0963,3,JGB132(20)|JGB133(20)|JGB365(10),9.952,9.952
2022-01-06,20Y,0.498,1,JGB36(30),20.2,20.2
2022-01-06,30Y,0.7,1,JGB WI(30)-01,29.952,29.952
2022-01-06,40Y,0.744,1,JGB14(40),39.201,39.201
2022-01-07,2Y,-0.0878,5,JGB138(5)|JGB332(10)|JGB432(2)|JGB65(20)|JGB66(20),1.949,1.982
2022-01-07,5Y,-0.055,3,JGB WI(5)-01|JGB345(10)|JGB92(20),4.95,4.95
2022-01-07,10Y,0.1167,3,JGB132(20)|JGB133(20)|JGB365(10),9.949,9.949
2022-01-07,20Y,0.516,1,JGB36(30),20.197,20.197
2022-01-07,30Y,0.715,1,JGB WI(30)-01,29.949,29.949
2022-01-07,40Y,0.753,1,JGB14(40),39.198,39.198
2022-01-11,2Y,-0.079,5,JGB138(5)|JGB332(10)|JGB432(2)|JGB65(20)|JGB66(20),1.938,1.971
2022-01-11,5Y,-0.041,3,JGB WI(5)-01|JGB345(10)|JGB92(20),4.939,4.939
2022-01-11,10Y,0.1297,3,JGB132(20)|JGB133(20)|JGB365(10),9.938,9.938
2022-01-11,20Y,0.53,1,JGB WI(20)-01,19.94,19.94
2022-01-11,30Y,0.709,1,JGB73(30),29.938,29.938
2022-01-11,40Y,0.749,1,JGB14(40),39.187,39.187
