date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2020-01-20,20Y,0.307,1,JGB171(20),19.915,19.915
2020-01-20,30Y,0.451,1,JGB65(30),29.916,29.916
2020-01-20,40Y,0.486,1,JGB12(40),39.162,39.162
2020-01-21,2Y,-0.125,1,JGB408(2),1.947,1.947
2020-01-21,5Y,-0.1066,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.914,4.914
2020-01-21,10Y,0.011,1,JGB2(30),10.084,10.084
2020-01-21,20Y,0.319,1,JGB171(20),19.912,19.912
2020-01-21,30Y,0.465,1,JGB65(30),29.914,29.914
2020-01-21,40Y,0.5,1,JGB12(40),39.159,39.159
2020-01-22,2Y,-0.125,1,JGB408(2),1.944,1.944
2020-01-22,5Y,-0.1172,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.912,4.912
2020-01-22,10Y,-0.004,1,JGB2(30),10.081,10.081
2020-01-22,20Y,0.29,1,JGB171(20),19.91,19.91
2020-01-22,30Y,0.437,1,JGB65(30),29.911,29.911
2020-01-22,40Y,0.4725,2,JGB WI(40)-01|JGB12(40),39.157,39.157
2020-01-23,2Y,-0.121,1,JGB408(2),1.941,1.941
2020-01-23,5Y,-0.1176,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.909,4.909
2020-01-23,10Y,-0.001,1,JGB2(30),10.078,10.078
2020-01-23,20Y,0.295,1,JGB171(20),19.907,19.907
2020-01-23,30Y,0.437,1,JGB65(30),29.908,29.908
2020-01-23,40Y,0.4735,2,JGB WI(40)-01|JGB12(40),39.154,39.154
2020-01-24,2Y,-0.1305,2,JGB WI(2)-02|JGB408(2),1.938,2.023
2020-01-24,5Y,-0.1326,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.906,4.906
2020-01-24,10Y,-0.021,1,JGB2(30),10.075,10.075
2020-01-24,20Y,0.271,1,JGB171(20),19.904,19.904
2020-01-24,30Y,0.409,1,JGB65(30),29.906,29.906
2020-01-24,40Y,0.4445,2,JGB WI(40)-01|JGB12(40),39.151,39.151
2020-01-27,2Y,-0.1305,2,JGB WI(2)-02|JGB408(2),1.93,2.015
2020-01-27,5Y,-0.1326,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.898,4.898
2020-01-27,10Y,-0.021,1,JGB2(30),10.067,10.067
2020-01-27,20Y,0.265,1,JGB171(20),19.896,19.896
2020-01-27,30Y,0.404,1,JGB65(30),29.897,29.897
2020-01-27,40Y,0.439,2,JGB WI(40)-01|JGB12(40),39.143,39.143
2020-01-28,2Y,-0.1415,2,JGB WI(2)-02|JGB408(2),1.927,2.012
2020-01-28,5Y,-0.153,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.895,4.895
2020-01-28,10Y,-0.043,1,JGB2(30),10.064,10.064
2020-01-28,20Y,0.236,1,JGB171(20),19.893,19.893
2020-01-28,30Y,0.371,1,JGB65(30),29.895,29.895
2020-01-28,40Y,0.4005,2,JGB WI(40)-01|JGB12(40),39.14,39.14
2020-01-29,2Y,-0.1315,2,JGB WI(2)-02|JGB408(2),1.925,2.01
2020-01-29,5Y,-0.1428,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.893,4.893
2020-01-29,10Y,-0.035,1,JGB2(30),10.062,10.062
2020-01-29,20Y,0.241,1,JGB171(20),19.89,19.89
2020-01-29,30Y,0.376,1,JGB65(30),29.892,29.892
2020-01-29,40Y,0.406,1,JGB12(40),39.138,39.138
2020-01-30,2Y,-0.1315,2,JGB WI(2)-02|JGB408(2),1.922,2.007
2020-01-30,5Y,-0.143,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.89,4.89
2020-01-30,10Y,-0.038,1,JGB2(30),10.059,10.059
2020-01-30,20Y,0.236,1,JGB171(20),19.888,19.888
2020-01-30,30Y,0.371,1,JGB65(30),29.889,29.889
2020-01-30,40Y,0.397,1,JGB12(40),39.135,39.135
2020-01-31,2Y,-0.149,2,JGB408(2)|JGB409(2),1.919,2.004
2020-01-31,5Y,-0.1638,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.887,4.887
2020-01-31,10Y,-0.055,1,JGB2(30),10.056,10.056
2020-01-31,20Y,0.226,1,JGB171(20),19.885,19.885
2020-01-31,30Y,0.3585,2,JGB WI(30)-02|JGB65(30),29.886,29.886
2020-01-31,40Y,0.382,1,JGB12(40),39.132,39.132
2020-02-03,2Y,-0.159,1,JGB409(2),1.996,1.996
