date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2021-01-04,2Y,-0.1245,6,JGB134(5)|JGB326(10)|JGB327(10)|JGB420(2)|JGB59(20)|JGB60(20),1.958,1.99
2021-01-04,5Y,-0.1117,3,JGB341(10)|JGB83(20)|JGB84(20),4.958,4.958
2021-01-04,10Y,0.028,3,JGB WI(10)-01|JGB123(20)|JGB124(20),9.958,9.958
2021-01-04,20Y,0.409,1,JGB34(30),20.205,20.205
2021-01-04,30Y,0.648,1,JGB WI(30)-01,29.958,29.958
2021-01-04,40Y,0.669,1,JGB13(40),39.206,39.206
2021-01-05,2Y,-0.1248,6,JGB134(5)|JGB326(10)|JGB327(10)|JGB420(2)|JGB59(20)|JGB60(20),1.955,1.988
2021-01-05,5Y,-0.1123,3,JGB341(10)|JGB83(20)|JGB84(20),4.956,4.956
2021-01-05,10Y,0.0283,3,JGB WI(10)-01|JGB123(20)|JGB124(20),9.955,9.955
2021-01-05,20Y,0.416,1,JGB34(30),20.203,20.203
2021-01-05,30Y,0.655,1,JGB WI(30)-01,29.955,29.955
2021-01-05,40Y,0.674,1,JGB13(40),39.203,39.203
2021-01-06,2Y,-0.1252,6,JGB134(5)|JGB326(10)|JGB327(10)|JGB420(2)|JGB59(20)|JGB60(20),1.952,1.985
2021-01-06,5Y,-0.1223,3,JGB341(10)|JGB83(20)|JGB84(20),4.953,4.953
2021-01-06,10Y,0.0177,3,JGB WI(10)-01|JGB123(20)|JGB124(20),9.952,9.952
2021-01-06,20Y,0.405,1,JGB34(30),20.2,20.2
2021-01-06,30Y,0.64,1,JGB WI(30)-01,29.952,29.952
2021-01-06,40Y,0.666,1,JGB13(40),39.201,39.201
2021-01-07,2Y,-0.1207,6,JGB134(5)|JGB326(10)|JGB327(10)|JGB420(2)|JGB59(20)|JGB60(20),1.949,1.982
2021-01-07,5Y,-0.109,4,JGB WI(5)-01|JGB341(10)|JGB83(20)|JGB84(20),4.95,4.95
2021-01-07,10Y,0.0227,3,JGB123(20)|JGB124(20)|JGB361(10),9.949,9.949
2021-01-07,20Y,0.411,1,JGB34(30),20.197,20.197
2021-01-07,30Y,0.65,1,JGB WI(30)-01,29.949,29.949
2021-01-07,40Y,0.674,1,JGB13(40),39.198,39.198
2021-01-08,2Y,-0.1145,6,JGB134(5)|JGB326(10)|JGB327(10)|JGB420(2)|JGB59(20)|JGB60(20),1.947,1.979
2021-01-08,5Y,-0.104,4,JGB WI(5)-01|JGB341(10)|JGB83(20)|JGB84(20),4.947,4.947
2021-01-08,10Y,0.0333,3,JGB123(20)|JGB124(20)|JGB361(10),9.947,9.947
2021-01-08,20Y,0.421,1,JGB34(30),20.194,20.194
2021-01-08,30Y,0.655,1,JGB WI(30)-01,29.947,29.947
2021-01-08,40Y,0.674,1,JGB13(40),39.195,39.195
2021-01-12,2Y,-0.1173,6,JGB134(5)|JGB326(10)|JGB327(10)|JGB420(2)|JGB59(20)|JGB60(20),1.936,1.969
2021-01-12,5Y,-0.105,4,JGB WI(5)-01|JGB341(10)|JGB83(20)|JGB84(20),4.936,4.936
2021-01-12,10Y,0.0333,3,JGB123(20)|JGB124(20)|JGB361(10),9.936,9.936
2021-01-12,20Y,0.433,1,JGB34(30),20.183,20.183
2021-01-12,30Y,0.649,1,JGB69(30),29.936,29.936
2021-01-12,40Y,0.666,1,JGB13(40),39.184,39.184
2021-01-13,2Y,-0.1232,6,JGB134(5)|JGB326(10)|JGB327(10)|JGB420(2)|JGB59(20)|JGB60(20),1.933,1.966
2021-01-13,5Y,-0.112,4,JGB WI(5)-01|JGB341(10)|JGB83(20)|JGB84(20),4.934,4.934
2021-01-13,10Y,0.028,3,JGB123(20)|JGB124(20)|JGB361(10),9.933,9.933
2021-01-13,20Y,0.425,1,JGB WI(20)-01,19.934,19.934
2021-01-13,30Y,0.649,1,JGB69(30),29.933,29.933
2021-01-13,40Y,0.666,1,JGB13(40),39.181,39.181
2021-01-14,2Y,-0.1228,6,JGB134(5)|JGB326(10)|JGB327(10)|JGB420(2)|JGB59(20)|JGB60(20),1.93,1.963
