date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2023-01-04,2Y,0.0367,6,JGB142(5)|JGB336(10)|JGB337(10)|JGB444(2)|JGB73(20)|JGB74(20),1.96,1.993
2023-01-04,5Y,0.249,2,JGB349(10)|JGB99(20),4.958,4.958
2023-01-04,10Y,0.5208,4,JGB WI(10)-01|JGB141(20)|JGB142(20)|JGB9(30),9.96,9.96
2023-01-04,20Y,1.29,1,JGB38(30),20.205,20.205
2023-01-04,30Y,1.585,1,JGB6(40),30.207,30.207
2023-01-04,40Y,1.691,1,JGB15(40),39.206,39.206
2023-01-05,2Y,0.031,6,JGB142(5)|JGB336(10)|JGB337(10)|JGB444(2)|JGB73(20)|JGB74(20),1.958,1.99
2023-01-05,5Y,0.245,2,JGB349(10)|JGB99(20),4.956,4.956
2023-01-05,10Y,0.5522,4,JGB WI(10)-01|JGB141(20)|JGB142(20)|JGB9(30),9.958,9.958
2023-01-05,20Y,1.328,1,JGB38(30),20.203,20.203
2023-01-05,30Y,1.62,1,JGB WI(30)-01,29.958,29.958
2023-01-05,40Y,1.717,1,JGB15(40),39.203,39.203
2023-01-06,2Y,0.0157,6,JGB142(5)|JGB336(10)|JGB337(10)|JGB444(2)|JGB73(20)|JGB74(20),1.955,1.988
2023-01-06,5Y,0.2295,2,JGB349(10)|JGB99(20),4.953,4.953
2023-01-06,10Y,0.5398,4,JGB141(20)|JGB142(20)|JGB369(10)|JGB9(30),9.955,9.955
2023-01-06,20Y,1.299,1,JGB38(30),20.2,20.2
2023-01-06,30Y,1.596,1,JGB WI(30)-01,29.955,29.955
2023-01-06,40Y,1.699,1,JGB15(40),39.201,39.201
2023-01-10,2Y,0.0103,6,JGB142(5)|JGB336(10)|JGB337(10)|JGB444(2)|JGB73(20)|JGB74(20),1.944,1.977
2023-01-10,5Y,0.2187,3,JGB WI(5)-01|JGB349(10)|JGB99(20),4.942,4.942
2023-01-10,10Y,0.5375,4,JGB141(20)|JGB142(20)|JGB369(10)|JGB9(30),9.944,9.944
2023-01-10,20Y,1.285,1,JGB38(30),20.189,20.189
2023-01-10,30Y,1.585,1,JGB WI(30)-01,29.944,29.944
2023-01-10,40Y,1.688,1,JGB15(40),39.19,39.19
